"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S8UMMX3S","journalArticle","2021","Wu, Quanlin; Zhang, Gongguo; Zhao, Na; Zheng, Yiqun; Ma, Yanyun; Liu, Feng; Liu, Maochang","Construction of Concave PdAg Nanoshells with Limited Thickness for Efficient Electroxidation of Ethanol","Frontiers in Materials","","2296-8016","10.3389/fmats.2021.761236","https://www.frontiersin.org/articles/10.3389/fmats.2021.761236/full","Noble metal nanocrystals enclosed with curved surfaces are of great benefit for applications in electrocatalysis since the atomic steps and kinks on these facets have higher chemical activity. Herein, we report the fabrication of PdAg nanoshells with tunable thickness in the range of 5–13 nm and a unique concave cubic morphology, as well as the exploration of their applications for ethanol oxidation reaction (EOR) in alkaline media. The success of current work relies on the conformal deposition of PdAg on concave Au nanocubes, where the controlled reaction kinetics and proper chosen capping agent are both crucial for the growth mode. When loaded on carbon black and working as electrocatalysts, they exhibited superb electrochemical activity (e.g               .               , 600.21 mA mg               −1               in mass activity and 19.57 A m               −2               in specific activity), together with improved EOR kinetics and long-term durability, as compared to Au@Pd nanoparticles and commercial Pd/C. The current work offers a feasible strategy to produce PdAg bimetallic nanocrystals with concave surface and validates their promising application as fuel cell catalysts, which could be extended to morphology engineering of other noble-metal nanocrystals for a broad range of applications.","2021-11-01","2026-01-08 11:28:41","2026-01-08 11:28:41","2026-01-08 11:28:41","761236","","","8","","Front. Mater.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\498AK3QZ\Wu 等 - 2021 - Construction of Concave PdAg Nanoshells with Limited Thickness for Efficient Electroxidation of Etha.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJQJKUZC","journalArticle","2023","Wang, Shupeng; Fu, Luhong; Huang, Hongpu; Fu, Miao; Cai, Junlin; Lyu, Zixi; Wang, Qiuxiang; Kuang, Qin; Xie, Zhaoxiong; Xie, Shuifen","Local Oxidation Induced Amorphization of 1.5‐nm‐Thick Pt–Ru Nanowires Enables Superactive and CO‐Tolerant Hydrogen Oxidation in Alkaline Media","Advanced Functional Materials","","1616-301X, 1616-3028","10.1002/adfm.202304125","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.202304125","Abstract                            Low‐dimensional amorphous metallic nanomaterials provide great possibility for creating high‐performance electrocatalysts owing to their conspicuous reacting merits derived from the flexible coordination structures, but remain extremely challenging in synthesis. Herein, this work reports a facile synthesis of carbon‐loaded amorphous 1.5‐nm‐thick Pt–Ru nanowires (NWs) through a local oxidation induced amorphization process. During annealing premade crystalline Pt–Ru NWs/C in air, a local‐oxidation of the oxyphilic Ru generates abundant random Ru–O bonds and disturbs the order bimetallic lattices. The as‐prepared amorphous Pt               53               Ru               47               (a‐Pt               53               Ru               47               ) NWs/C exhibits an extremely high activity (13.7 A mg               −1               at 25 mV overpotential) and an excellent CO‐tolerance for alkaline hydrogen oxidation reaction (HOR) electrocatalysis, drastically outperforming the crystalline counterpart and commercial benchmarks. Mechanism studies indicate the Pt–Ru bimetallic effects as well as the rich disordered “Pt–Ru–O” and/or “Pt–O–Ru” atomic heterojunctions can weaken the *H binding energy and inversely strengthen the *OH adsorption, thus promoting the alkaline HOR kinetics. More uniquely, the small interatomic spaces derived from the disordered bond nets present a H               2               /*H‐selected permeability, which spatially obstruct the relatively larger CO molecules to poison the internal catalytic sites during HOR. The CO‐shielded internal catalytic sites and the enriched surface *OH jointly upgrade the CO‐tolerance of the a‐Pt               53               Ru               47               NWs/C catalysts.","2023-10","2026-01-08 11:28:36","2026-01-08 11:28:36","2026-01-08 11:28:36","2304125","","43","33","","Adv Funct Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\HIMDXSQF\Wang 等 - 2023 - Local Oxidation Induced Amorphization of 1.5‐nm‐Thick Pt–Ru Nanowires Enables Superactive and CO‐Tol.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAAF8DBU","journalArticle","2021","Liang, Yinyin; Ma, Tao; Xiong, Yazhou; Qiu, Lizhu; Yu, Hui; Liang, Feng","Highly efficient blackberry-like trimetallic PdAuCu nanoparticles with optimized Pd content for ethanol electrooxidation","Nanoscale","","2040-3364, 2040-3372","10.1039/D1NR00841B","https://xlink.rsc.org/?DOI=D1NR00841B","The catalytic performance of blackberry-like PdAuCu nanoparticles could achieve the best mass activity of 23 000 mA mg               Pd               −1               for the EOR with an optimization of balance between Pd contents and surface structures.                        ,                             The rational design of highly efficient catalysts for ethanol electrooxidation is extremely challenging for developing direct ethanol fuel cells (DEFCs). Herein, a facile one-pot method has been developed to prepare blackberry-like PdAuCu nanoparticles (NPs) with tunable composition and surface structures. Among PdAuCu NPs with different Pd contents (1.6–22 mass%), PdAuCu NPs-0.5 (contained Pd at 2.5 mass%) delivered one of the highest catalytic activities of Pd-based catalysts towards ethanol electrooxidation, exhibiting a mass activity of 23.0 A mg               Pd               −1               . Kinetic analysis, electrochemical impedance spectroscopy and CO stripping test results suggested that the excellent electrocatalytic activity may originate from the optimized balance between Pd content and surface structure of PdAuCu NPs-0.5. The optimization of the balance between composition and surface structure would contribute to the further design of multimetallic nanoparticles for fuel cells and other applications.","2021","2026-01-08 11:28:32","2026-01-08 11:28:32","2026-01-08 11:28:32","9960-9970","","22","13","","Nanoscale","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\ELUIZFJH\Liang 等 - 2021 - Highly efficient blackberry-like trimetallic PdAuCu nanoparticles with optimized Pd content for etha.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SJYTC4T","journalArticle","2025","Li, Jun; Zhang, Jianbo; Liu, Panmei; Liang, Hongyan; Huang, Yuan; Liu, Yongchang; Wang, Zumin","Nanoporous Core–Shell Multifunctional Electrocatalysts Toward Flexible Ethanol Fuel Cells","Small","","1613-6810, 1613-6829","10.1002/smll.202504961","https://onlinelibrary.wiley.com/doi/10.1002/smll.202504961","Abstract                            The advancement of flexible direct alcohol fuel cells (DAFCs) is crucial for the promotion and application of the new generation of wearable and flexible electronic products. However, problems such as poor anti‐poisoning of catalysts and serious fuel leakage have hindered the development of flexible DAFCs. In this study, a nanoporous gold ‐loaded PtPdRhCo quaternary core–shell catalyst is successfully prepared via a simple electrodeposition method. Consequently, the quaternary core–shell catalyst exhibits superior mass activities for the ethanol oxidation reaction (25.20 A·mg               Pt               −1               ), methanol oxidation reaction (19.30 A·mg               Pt               −1               ), and oxygen reduction reaction (0.82 A·mg               Pt               −1               ), respectively. On this basis, a flexible direct ethanol fuel cell (DEFC) is assembled with two carbon cloths containing catalysts and sodium polyacrylate‐sodium alginate hydrogel electrolyte between the two carbon cloths. Electrochemical tests show that flexible DEFC achieves a stable output potential of 0.55 V and a maximum power density of 17.68 mW·cm               −2               . Overall, this effort provides an important reference for the development of flexible energy devices based on nanoporous metals/alloys.","2025-09","2026-01-08 11:28:28","2026-01-08 11:28:28","2026-01-08 11:28:28","2504961","","36","21","","Small","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\8PXIJZA6\Li 等 - 2025 - Nanoporous Core–Shell Multifunctional Electrocatalysts Toward Flexible Ethanol Fuel Cells.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWU5T8Q2","journalArticle","2017","Chen, Lin; Lu, Lilin; Zhu, Hengli; Chen, Yueguang; Huang, Yu; Li, Yadong; Wang, Leyu","Improved ethanol electrooxidation performance by shortening Pd–Ni active site distance in Pd–Ni–P nanocatalysts","Nature Communications","","2041-1723","10.1038/ncomms14136","https://www.nature.com/articles/ncomms14136","Abstract                            Incorporating oxophilic metals into noble metal-based catalysts represents an emerging strategy to improve the catalytic performance of electrocatalysts in fuel cells. However, effects of the distance between the noble metal and oxophilic metal active sites on the catalytic performance have rarely been investigated. Herein, we report on ultrasmall (∼5 nm) Pd–Ni–P ternary nanoparticles for ethanol electrooxidation. The activity is improved up to 4.95 A per mg               Pd               , which is 6.88 times higher than commercial Pd/C (0.72 A per mg               Pd               ), by shortening the distance between Pd and Ni active sites, achieved through shape transformation from Pd/Ni–P heterodimers into Pd–Ni–P nanoparticles and tuning the Ni/Pd atomic ratio to 1:1. Density functional theory calculations reveal that the improved activity and stability stems from the promoted production of free OH radicals (on Ni active sites) which facilitate the oxidative removal of carbonaceous poison and combination with CH               3               CO radicals on adjacent Pd active sites.","2017-04-01","2026-01-08 11:27:39","2026-01-08 11:27:39","2026-01-08 11:27:39","14136","","1","8","","Nat Commun","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\4KV6659V\Chen 等 - 2017 - Improved ethanol electrooxidation performance by shortening Pd–Ni active site distance in Pd–Ni–P na.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSR3T4XA","journalArticle","2023","Kamyabi, Mohammad Ali; Jadali, Salma; Alizadeh, Taher","Ethanol Electrooxidation on Nickel Foam Arrayed with Templated PdSn; From Catalyst Fabrication to Electrooxidation Dominance Route","ChemElectroChem","","2196-0216, 2196-0216","10.1002/celc.202200914","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/celc.202200914","Abstract                            In the present work, the performance of templated Pd‐based catalysts (TPL.Pd               1               Sn                                x                              /NF) with different atomic ratio on the alkaline electrooxidation of ethanol was investigated. The superb mass activity (3246.6 mA mg               −1               Pd               compared with 289.9 mA mg               −1               Pt               for state of the art commercial Pt/C) as well as preferable long time stability, anti‐poisoning property, and conductivity of the optimum structure (TPL.Pd               1               Sn               20               /NF) towards electrooxidation of ethanol were proved by electrochemical experiments. The comparative study of electrocatalytic oxidation of acetaldehyde on the surface of TPL.Pd               1               Sn               20               /NF and TPL.Pd/NF exhibited that the presence of tin in the structure of TPL.Pd               1               Sn               20               /NF not only substantially promoted C1 pathway but also appreciably prevented the aldol condensation and deactivation during the electrooxidation of ethanol.","2023-01-02","2026-01-08 11:27:36","2026-01-08 11:27:36","2026-01-08 11:27:36","e202200914","","1","10","","ChemElectroChem","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\NXSE32BM\Kamyabi 等 - 2023 - Ethanol Electrooxidation on Nickel Foam Arrayed with Templated PdSn; From Catalyst Fabrication to El.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53HV45TX","journalArticle","2020","Guo, Longfei; Chen, Fuyi; Jin, Tao; Liu, Huazhen; Zhang, Nan; Jin, Yachao; Wang, Qiao; Tang, Quan; Pan, Bowei","Surface reconstruction of AgPd nanoalloy particles during the electrocatalytic formate oxidation reaction","Nanoscale","","2040-3364, 2040-3372","10.1039/C9NR09660D","https://xlink.rsc.org/?DOI=C9NR09660D","Ag               49               Pd               51               nanoalloys undergo surface reconstruction on graphene where Pd surface coverage increases from 51.87 to 62.42% during the FOR, and the catalytic activity increases from 2.32 to 6.03 A mg               −1               Pd               .                        ,                             Formate is a kind of carbon-neutral fuel that can be synthesized by electrochemical conversion of CO               2               , however, the generated aqueous formate electrolyte is still short of potential application. Here, formate solution is proposed to be utilized as anode fuels of direct formate fuel cells through the formate oxidation reaction (FOR), and graphene supported AgPd nanoalloys (AgPd/rGO) are prepared to catalyze the FOR. Specifically, the mass activity of the as-prepared Ag               49               Pd               51               /rGO catalyst is 4.21 A mg               −1               Pd               and the retention activity of Ag               49               Pd               51               /rGO is 49.1% of initial activity after successive 500 cycles, which is 2.48 and 3.03 times higher than that of unsupported Ag               51               Pd               49               nanoalloys. When increasing the positive scan limit from 0.0 to 0.8 V, the mass activity of the Ag               49               Pd               51               /rGO catalyst increases from 2.32 to 6.03 A mg               −1               Pd               and Pd surface coverage increases from 51.87% to 62.42%, indicating the occurrence of surface reconstruction where Pd atoms migrate to the surface of AgPd nanoalloys, and less intensive reconstruction is observed in unsupported Ag               51               Pd               49               nanoalloys, whose mass activity increases from 1.35 to 2.49 A mg               −1               Pd               . The driving force and kinetic path are calculated for the surface reconstruction induced by the adsorption of H, O and C atoms, in the case of C atoms on graphene, the segregation energy of surface Pd atoms in the AgPd nanoalloy is −1.16 eV, and the activation energy for the migration of subsurface Pd atoms to the surface is 0.54 eV, which are lower than the segregation (0.03 eV) and activation (2.06 eV) energy on a clean alloy surface.","2020","2026-01-08 11:27:30","2026-01-08 11:27:30","2026-01-08 11:27:30","3469-3481","","5","12","","Nanoscale","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\2DN5NNQZ\Guo 等 - 2020 - Surface reconstruction of AgPd nanoalloy particles during the electrocatalytic formate oxidation rea.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDFDA2VG","journalArticle","2025","Cai, Yin; Tao, Yi; Ding, Jie; Li, Fuhua; Chen, Rongsheng; Ma, Tao; Liang, Feng","Composition-regulated lattice strain of PdSn/C for boosting C1 pathway in ethanol electrooxidation","Energy Materials","","2770-5900","10.20517/energymater.2024.91","https://www.oaepublish.com/articles/energymater.2024.91","The rational design of Pd-based catalysts to enhance their applications in ethanol oxidation reaction (EOR) presents both exciting opportunities and significant challenges. Herein, a series of carbon-supported PdSn nanoparticle catalysts (PdSn/C-X, X = 0.1, 0.5, 1, 2) with tunable lattice strains were synthesized using a facile method at room temperature and applied to the EOR. Our findings demonstrate that the activity and stability of EOR can be modulated by manipulating the lattice strain in Pd-based catalysts. Remarkably, PdSn/C-1 exhibits an excellent mass current density of 8,452.3 mA/mgPd, which is higher than that of most Pd-based catalysts, along with great stability, maintaining a mass activity of 573.9 mA/mgPd after 5,000 s. By combining structural analysis, in situ  spectral characterization, and theoretical calculation, we elucidate that the optimal tensile strain adjusted by Sn composition in PdSn/C optimizes the free energy of the key intermediate (*CH2CO) during EOR, thereby favoring the C1 pathway and enhancing catalytic activity. This study demonstrates that by controlling the composition, the lattice strain can be altered to improve catalytic performance of Pd-based catalysts in EOR.","2025-01-23","2026-01-08 11:27:26","2026-01-08 11:27:26","2026-01-08 11:27:26","","","4","5","","Energy Mater.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\E7HJKKEW\Cai 等 - 2025 - Composition-regulated lattice strain of PdSnC for boosting C1 pathway in ethanol electrooxidation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2YBPIJLS","journalArticle","2022","Yellatur, Chandra Sekhar; Padmasale, Raghavendra; T, Maiyalagan; Loka, Subramanyam Sarma","Facile electrooxidation of ethanol on reduced graphene oxide supported Pt–Pd bimetallic nanocomposite surfaces in acidic media","Nanotechnology","","0957-4484, 1361-6528","10.1088/1361-6528/ac6df7","https://iopscience.iop.org/article/10.1088/1361-6528/ac6df7","Abstract             Development of electrocatalysts with extended homogeneity and improved metal–support interactions is of urgent scientific need in the context of electrochemical energy applications. Herein, bimetallic Pt–Pd nanoparticles with good homogeneity are fabricated using a convenient solution phase chemical reduction method onto a reduced graphene oxide (rGO) support. X-ray diffraction studies revealed that Pt–Pd/rGO possesses the crystallite size of 3.1 nm. The efficacies of Pt–Pd/rGO catalyst (20 wt% Pt + 10 wt% Pd on rGO support, Pt:Pd atomic ratio = 1:1) towards ethanol electrooxidation reaction (EOR) are evaluated in acidic conditions by cyclic voltammetry using catalyst-coated glassy carbon electrode as a working electrode. With the better dispersion on rGO support the Pt–Pd/rGO nancomposite catalyst exhibit highest mass specific activity (0.358 mA/µg-Pt) which is observed to be 1.9 times of similarly synthesized 20 wt% Pt/rGO (0.189 mA/µg-Pt) and 2.5 times of commercial 20 wt% Pt/C (0.142 mA/µg-Pt), respectively. Apart from the observed improved EOR activity, the Pt–Pd/rGO catalyst exhibited better stability than Pt/rGO and Pt/C catalysts. Strong synergy offered by Pt, Pd and rGO support could contribute to the observed higher EOR activity of Pt–Pd/rGO.","2022-08-13","2026-01-08 11:27:22","2026-01-08 11:27:22","2026-01-08 11:27:22","335401","","33","33","","Nanotechnology","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\VUPABKCC\Yellatur 等 - 2022 - Facile electrooxidation of ethanol on reduced graphene oxide supported Pt–Pd bimetallic nanocomposit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9BRJE8X","journalArticle","2020","Yin, Peng‐Fei; Zhou, Ming; Chen, Junze; Tan, Chaoliang; Liu, Guigao; Ma, Qinglang; Yun, Qinbai; Zhang, Xiao; Cheng, Hongfei; Lu, Qipeng; Chen, Bo; Chen, Ye; Zhang, Zhicheng; Huang, Jingtao; Hu, Dianyi; Wang, Jie; Liu, Qing; Luo, Zhiyong; Liu, Zhengqing; Ge, Yiyao; Wu, Xue‐Jun; Du, Xi‐Wen; Zhang, Hua","Synthesis of Palladium‐Based Crystalline@Amorphous Core–Shell Nanoplates for Highly Efficient Ethanol Oxidation","Advanced Materials","","0935-9648, 1521-4095","10.1002/adma.202000482","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202000482","Abstract                            Phase engineering of nanomaterials (PEN) offers a promising route to rationally tune the physicochemical properties of nanomaterials and further enhance their performance in various applications. However, it remains a great challenge to construct well‐defined crystalline@amorphous core–shell heterostructured nanomaterials with the same chemical components. Herein, the synthesis of binary (Pd‐P) crystalline@amorphous heterostructured nanoplates using Cu               3−                                χ                              P nanoplates as templates, via cation exchange, is reported. The obtained nanoplate possesses a crystalline core and an amorphous shell with the same elemental components, referred to as               c               ‐Pd‐P@               a               ‐Pd‐P. Moreover, the obtained               c               ‐Pd‐P@               a               ‐Pd‐P nanoplates can serve as templates to be further alloyed with Ni, forming ternary (Pd‐Ni‐P) crystalline@amorphous heterostructured nanoplates, referred to as               c               ‐Pd‐Ni‐P@               a               ‐Pd‐Ni‐P. The atomic content of Ni in the               c               ‐Pd‐Ni‐P@               a               ‐Pd‐Ni‐P nanoplates can be tuned in the range from 9.47 to 38.61 at%. When used as a catalyst, the               c               ‐Pd‐Ni‐P@               a               ‐Pd‐Ni‐P nanoplates with 9.47 at% Ni exhibit excellent electrocatalytic activity toward ethanol oxidation, showing a high mass current density up to 3.05 A mg               Pd               −1               , which is 4.5 times that of the commercial Pd/C catalyst (0.68 A mg               Pd               −1               ).","2020-05","2026-01-08 11:27:13","2026-01-08 11:27:13","2026-01-08 11:27:13","2000482","","21","32","","Advanced Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\GSIDGN2W\Yin 等 - 2020 - Synthesis of Palladium‐Based Crystalline@Amorphous Core–Shell Nanoplates for Highly Efficient Ethano.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
