"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3YHAFTDS","journalArticle","2022","Feng, Yiling; Han, Wei; Wang, Tingyu; Chen, Qian; Zhang, Yan; Sun, Yonggang; Zhang, Xin; Yang, Lin; Chen, Song; Xu, YuXiang; Tang, Hong; Zhang, Bing; Wang, Hao","Nano-Sized PtRu/C Electrocatalyst With Separated Phases and High Dispersion Improves Electrochemical Performance of Hydrogen Oxidation Reaction","Frontiers in Chemistry","","2296-2646","10.3389/fchem.2022.885965","https://www.frontiersin.org/articles/10.3389/fchem.2022.885965/full","Alloys and core-shell nanoparticles have recently received enormous attention which opened up new avenues for highly active catalysts. Despite considerable advances in this field, the majority of proposed approaches suffer from either complicated procedures or unstable structures, severely hindering their practical applications. Here, we successfully synthesized alloy electrocatalyst with separated phases, PtRu alloy nanoparticles robustly supported by carbon matrix (PtRu/C), using a convenient two-step solvothermal method. The constructed PtRu/C at different NaOH contents (0–1.25 mmol) were compared and electrochemical activity were evaluated by the hydrogen oxidation reaction (HOR). In contrast, the homogeneous distribution and minimum average size of Ru and Pt nanoparticles on carbon, appeared at approximately 4 nm, proving that PtRu/C-0.75 possessed abundant accessible active sites. The catalytic activities and the reaction mechanism were studied via electrochemical techniques. PtRu/C-0.75 has excellent activity due to its unique electronic structure and efficient charge transfer, with the largest j               0               value of 3.68 mA cm               −2               in the HOR.","2022-05-31","2026-01-07 12:23:15","2026-01-07 12:23:15","2026-01-07 12:23:15","885965","","","10","","Front. Chem.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\TK8UBSLR\Feng 等 - 2022 - Nano-Sized PtRuC Electrocatalyst With Separated Phases and High Dispersion Improves Electrochemical.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UC9LYLW","journalArticle","2016","Zhuang, Zhongbin; Giles, Stephen A.; Zheng, Jie; Jenness, Glen R.; Caratzoulas, Stavros; Vlachos, Dionisios G.; Yan, Yushan","Nickel supported on nitrogen-doped carbon nanotubes as hydrogen oxidation reaction catalyst in alkaline electrolyte","Nature Communications","","2041-1723","10.1038/ncomms10141","https://www.nature.com/articles/ncomms10141","Abstract                            The development of a low-cost, high-performance platinum-group-metal-free hydroxide exchange membrane fuel cell is hindered by the lack of a hydrogen oxidation reaction catalyst at the anode. Here we report that a composite catalyst, nickel nanoparticles supported on nitrogen-doped carbon nanotubes, has hydrogen oxidation activity similar to platinum-group metals in alkaline electrolyte. Although nitrogen-doped carbon nanotubes are a very poor hydrogen oxidation catalyst, as a support, it increases the catalytic performance of nickel nanoparticles by a factor of 33 (mass activity) or 21 (exchange current density) relative to unsupported nickel nanoparticles. Density functional theory calculations indicate that the nitrogen-doped support stabilizes the nanoparticle against reconstruction, while nitrogen located at the edge of the nanoparticle tunes local adsorption sites by affecting the               d               -orbitals of nickel. Owing to its high activity and low cost, our catalyst shows significant potential for use in low-cost, high-performance fuel cells.","2016-01-14","2026-01-07 12:23:20","2026-01-07 12:23:20","2026-01-07 12:23:20","10141","","1","7","","Nat Commun","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\LZVJCNIL\Zhuang 等 - 2016 - Nickel supported on nitrogen-doped carbon nanotubes as hydrogen oxidation reaction catalyst in alkal.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K6JPD5GS","journalArticle","2024","Yu, Wanqing; Liu, Jing; Hu, Hao; He, Zeyu; Cui, Xuejing; Jiang, Luhua","Optimizing Nickel Orbital Occupancy via Co‐Modulation of Core and Shell Structures to Accelerate Alkaline Hydrogen Electro‐Oxidation Reaction","Advanced Functional Materials","","1616-301X, 1616-3028","10.1002/adfm.202315062","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.202315062","Abstract                            Nickel‐based catalysts are recognized as a promising alternative to platinum‐based catalysts for the alkaline hydrogen oxidation reaction (HOR) yet suffer from poor stability and relatively low activity. Herein, a nitrogen ligand‐assisted approach is reported to encapsulate nickel‐copper nanoparticles within few carbon layers, and by modulating the core and shell components/structure, the charge distribution in the nanostructures can be finely regulated. The optimized Ni               93               Cu               7               @NC catalyst exhibits outstanding HOR activity with an intrinsic activity of 61.0 µA cm               −2               and excellent stability, which is among the most advanced Ni‐based HOR catalysts. Notably, an alkaline exchange membrane fuel cell utilizing this catalyst achieves a peak power density of 381 mW cm               −2               and maintains stability at 100 mA cm               −2               for over 24 h. Experimental and theoretical investigations unveil that the electron re‐distribution at the interface of NiCu core and nitrogen‐doped carbon reduces the electron occupancy in Ni 4               s               ‐H 1               s               bonding orbitals and Ni 3               d               z               2               /yz‐O 2               p               antibonding orbitals, leading to a weakened hydrogen binding energy and enhance hydroxide binding energy. Consequently, the limiting energy for the HOR is reduced following a bifunctional mechanism on the Ni               93               Cu               7               @NC. This work provides a core‐shell co‐modulation strategy to accurately regulate the electronic structure of transition metals to design robust catalysts.","2024-05","2026-01-07 12:24:03","2026-01-07 12:24:03","2026-01-07 12:24:03","2315062","","22","34","","Adv Funct Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\QADXDARL\Yu 等 - 2024 - Optimizing Nickel Orbital Occupancy via Co‐Modulation of Core and Shell Structures to Accelerate Alk.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YBXKPSBV","journalArticle","2024","Fu, Xiuting; Huang, Xiaoxiao; Cen, Yaping; Ren, Xiaoyang; Yan, Li; Jin, Shao; Zhuang, Zhongbin; Li, Wanlu; Tian, Shubo","Ru Nanoparticles Encapsulated by Defective TiO<sub>2</sub> Boost the Hydrogen Oxidation/ Evolution Reaction","Small","","1613-6810, 1613-6829","10.1002/smll.202406387","https://onlinelibrary.wiley.com/doi/10.1002/smll.202406387","Abstract                            The development of efficient and durable electrocatalysts for the alkaline hydrogen oxidation/evolution reaction is crucial for anion exchange membrane fuel cells/water electrolyzers. However, designing such electrocatalysts poses a challenge due to the need for optimizing various adsorbates. Herein, highly dispersed Ru nanoparticles catalysts is reported encapsulated and supported by defective anatase phase of titanium dioxide (named as Ru NPs/def‐TiO               2               (A)) for boosting hydrogen‐cycle electrocatalysis with robust anti‐CO‐poisoning in alkaline conditions. The Ru NPs/def‐TiO               2               (A) achieves a high‐quality activity of 7.65 A mg               Ru               −1               , which is 23.2 and 9.5‐fold higher than commercial Ru/C and Pt/C in alkaline HOR. Moreover, this catalyst exhibits an outstanding overpotential of 21 mV at 10 mA cm               −2               in alkaline HER. Hydrogen underpotential deposition (H               upd               ) and CO stripping experiments demonstrate that Ru NPs/def‐TiO               2               (A) has the optimized H*, OH*, and CO* adsorption strength, enabling the Ru NPs/def‐TiO               2               (A) catalyst to display excellent and robust HOR/HER performance under alkaline conditions. Using density functional theory calculations, the enhanced HOR performance mechanism for the Ru NPs/def‐TiO               2               (A) catalyst originates from the TiO               2               step face in contact with the Ru nanoparticles, indicating that the kinetics of water formation are considerably more favorable at the Ru NPs/def‐TiO               2               (A) interface.","2024-12","2026-01-07 12:24:11","2026-01-07 12:24:11","2026-01-07 12:24:11","2406387","","51","20","","Small","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\QAWVLXY5\Fu 等 - 2024 - Ru Nanoparticles Encapsulated by Defective TiO2 Boost the Hydrogen Oxidation Evolution R.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPWX6IN2","journalArticle","2023","Liu, Dan‐Qing; Luo, Zhouxin; Zhang, Bingxing; Zhao, Guoqiang; Guo, Wei; Chen, Jian; Gao, Mingxia; Liu, Yongfeng; Pan, Hongge; Sun, Wenping","Tailoring Interfacial Charge Transfer of Epitaxially Grown Ir Clusters for Boosting Hydrogen Oxidation Reaction","Advanced Energy Materials","","1614-6832, 1614-6840","10.1002/aenm.202202913","https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202202913","Abstract                            The sluggish kinetics of hydrogen oxidation reaction (HOR) is one of the critical challenges for anion exchange membrane fuel cells. Here, we report epitaxial growth of Ir nanoclusters (<2 nm) on a MoS               2               surface (Ir/MoS               2               ) and optimize the alkaline HOR activity via tailoring interfacial charge transfer between Ir clusters and MoS               2               . The electron transfer from MoS               2               to Ir clusters can effectively prevent the oxidation of Ir clusters, which is not the case for carbon‐supported Ir nanoclusters (Ir/C) synthesized using the same method. Moreover, the HOR performance of the Ir/MoS               2               can be further optimized by tuning the hydrogen binding energy (HBE) via a precise annealing treatment. A substantial exchange current density of 1.28 mA cm               ECSA               −2               is achieved in the alkaline medium, which is ∼10 times over that of Ir/C. The HOR mass‐specific activity of Ir/MoS               2               heterostructure is as high as 182 mA mg               Ir               −1               . The experimental results and density functional theory calculations reveal that the significant improved HOR activity is attributed to the decreased HBE, which highlights epitaxial growth is an effective way for boosting catalytic activity of heterostructured catalysts.","2023-01","2026-01-07 12:24:21","2026-01-07 12:24:21","2026-01-07 12:24:21","2202913","","1","13","","Advanced Energy Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\SHENHHB2\Liu 等 - 2023 - Tailoring Interfacial Charge Transfer of Epitaxially Grown Ir Clusters for Boosting Hydrogen Oxidati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X2ICG8HQ","journalArticle","2019","Williams, Stefan T. D.; Goenaga, Gabriel A.; Elgammal, Ramez A.; Zawodzinski, Thomas A.","Synthesis and Characterization of Electrocatalysts for the Hydrogen Evolution and Hydrogen Oxidation Reactions in Alkaline Environment","ECS Meeting Abstracts","","2151-2043","10.1149/MA2019-02/36/1668","https://iopscience.iop.org/article/10.1149/MA2019-02/36/1668","The development of catalysts for the electrochemical processes of hydrogen systems (e.g. fuel cells and electrolyzer systems) continues to be a significant area of research for renewable energy technologies. One significant challenge has been the development of hydrogen catalysts that can be utilized in alkaline environments as the kinetics of hydrogen reactions decrease by two orders of magnitude in alkaline environments compared to acidic               [1,2]               . Chemical vapor deposition (CVD) is a conventional tool used in the synthesis of such catalysts               [3,4]               . This presentation discusses the extending work being done using a variant CVD process known as “Poor Man’s” CVD (PMCVD), to further its impact in electrochemical catalyst application               [5]               . PMCVD is utilizes an inexpensive vacuum oven to sublime commercially available metal-organic precursors; lowering synthesis cost while providing increased control of particle size and distribution. This work describes the work done to assess the PMCVD mechanisms as well as its use to develop catalysts for the hydrogen oxidation reaction (HOR) and hydrogen evolution reaction (HER) in alkaline environments.                          Preliminary studies have shown that PMCVD can develop catalysts with highly dispersed nanoparticles on various supports. As depicted in Figure 1, PMCVD synthesized Pt/C and PtRu/C catalysts have shown to have improved kinetics over commercial developed catalysts exhibiting approximately a 40% and 45% increase in average exchange current densities respectively when compared to Tanaka Kikinzoku catalysts of the same loading. An extended function of the PMVCD process is the ability to synthesize alloyed catalysts in a single deposition process. By understanding the parametric effects of temperature and pressure on the deposition process with respect to particle size and distribution, we can optimize the PMCVD process to develop highly active catalysts that can be used in alkaline hydrogen systems.             [1] Durst, J. et al. New insights into the electrochemical hydrogen oxidation and evolution reaction mechanism. Energ. Environ. Sci. 7, 2255–2260 (2014).             [2]Sheng, W. et al. Hydrogen Oxidation and Evolution Reaction Kinetics on Platinum: Acid vs Alkaline Electrolytes. . Electrochem. Soc. 2010 volume 157, issue 11, B1529-B1536             [3] Garcia, Vargas, et al. “Chemical Vapor Deposition of Iridium, platinum, Rhodium, and Palladium.” Materials Transactions, Vol. 44, No. 9 (2003) pp. 1717-1728             [4] Serp, Philppe, et. al. “Chemical Vapor Deposition Methods for the Controlled Preparation of Supported Catalytic Materials.” Chem. Rev. 2002, 102, 3085−3128             [5] Papandrew, A. et al. Advanced Electrodes for Solid Acid Fuel Cells by Platinum Deposition on CsH2PO4. Chem. Mater. 2011, 23, 7, 1659-1667                                                                                                   Figure 1","2019-09-01","2026-01-07 12:24:29","2026-01-07 12:24:29","2026-01-07 12:24:29","1668-1668","","36","MA2019-02","","Meet. Abstr.","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DU6IPMUG","journalArticle","2021","Tran, Dinh Son; Park, Hyanjoo; Kim, Hoyoung; Kim, Soo‐Kil","Electrodeposited <span style=""font-variant:small-caps;"">NiRh</span> alloy as an efficient low‐precious metal catalyst for alkaline hydrogen oxidation reaction","International Journal of Energy Research","","0363-907X, 1099-114X","10.1002/er.6155","https://onlinelibrary.wiley.com/doi/10.1002/er.6155","Summary                            Developing a non‐precious or low Pt‐group metal‐containing (low‐PGM) hydrogen oxidation reaction (HOR) catalyst is crucial to fabricate economic anion exchange membrane fuel cells (AEMFCs), an alternative to proton exchange membrane fuel cells (PEMFC). In this study, low‐PGM Ni               100‐x               Rh               x               electrocatalysts, seldomly studied as alkaline HOR catalysts, with various compositions are fabricated via electrodeposition. Substantial changes are observed in both the morphology and crystalline structure of the catalysts when Ni is alloyed with Rh, such as enlarged surface area and development of different textures. The HOR activities of Ni               100‐x               Rh               x               catalysts evaluated in 0.1 M KOH solution are dramatically enhanced because of the enlarged surface area, bifunctional roles of H‐providing sites (Ni/Rh) and OH‐providing sites (Ni[OH]               2               /Rh               2               O               3               ), and their balanced composition on the surface. The durability of Ni               89               Rh               11               , the most appropriate catalyst, is investigated with the 3000 potential cycling, giving the average decay rate of approximately 0.30 μA cm               −2               /cycle. The origin of enhanced activity and degradation during durability test was explained in terms of the electronic structures and surface composition of the catalysts. The initial high HOR activity of about 1.5 mA/cm               2               for Ni               89               Rh               11               at 0.05 V               RHE               , though it requires a further improvement in the durability, suggests the practical feasibility of it as a low PGM alkaline HOR catalyst.","2021-03-25","2026-01-07 12:24:38","2026-01-07 12:24:38","2026-01-07 12:24:38","5325-5336","","4","45","","Intl J of Energy Research","Electrodeposited <span style=""font-variant","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\6A9XTU4C\Tran 等 - 2021 - Electrodeposited NiRh alloy as an efficient low‐precio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F9Y2QVZN","journalArticle","2025","Xu, Jing; Huang, Zhenyu; Wang, Yizhu; Li, Shouao; Tong, Yanfu; Liu, Pengyun; Li, Xuejin; Ren, Hao; Xing, Wei; Zhao, Lianming","Atomically Dispersed IrMo Nanoclusters Anchored on N‐Doped Hollow Carbon Nanospheres for Enhanced Alkaline Hydrogen Oxidation Reaction","Small","","1613-6810, 1613-6829","10.1002/smll.202504275","https://onlinelibrary.wiley.com/doi/10.1002/smll.202504275","Abstract                            The slow hydrogen oxidation reaction (HOR) rate at the anode of the anion exchange membrane fuel cell currently holds back its further development. In this study, N‐doped porous hollow carbon spheres (NHCSs) as a support are created, and highly dispersed small‐sized IrMo nanoclusters (3.05 nm NCs) as the active species within NHCSs. The Ir               1               Mo               5               /NHCS composite exhibits excellent HOR catalytic activity in 0.1 M KOH solution with a mass activity of 2687.20 mA mg               −1               and an exchange current density of 11.0 mA cm               −2               , which are 6.7 and 7.9 times higher than those of commercial Pt/C, respectively. Experiments and theoretical calculations suggest that Ir and Mo act as dual active sites for the H* and OH* adsorption. The high HOR catalytic activity of Ir               1               Mo               5               /NHCSs is attributed to the synergistic effect of Ir and Mo, which modulates the d‐band center of the catalyst and thus optimizes the binding energy of H* and OH*. Furthermore, the spatial confinement effect of the highly porous support structure, combined with the anchoring effect of N doping, not only increases the dispersion and exposure of active IrMo NCs, but also enhances their structural stability and resistance to CO poisoning.","2025-08","2026-01-07 12:24:43","2026-01-07 12:24:43","2026-01-07 12:24:43","2504275","","32","21","","Small","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\9MSTTRDG\Xu 等 - 2025 - Atomically Dispersed IrMo Nanoclusters Anchored on N‐Doped Hollow Carbon Nanospheres for Enhanced Al.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5M3MH7F","journalArticle","2025","Zhang, Shaoqing; Ren, Renjie; Cao, Jing; Zhang, Dezheng; Bai, Jingsen; Han, Ce; Xiao, Li; Zhuang, Lin; Song, Ping; Xu, Weilin","Ru‐MnO Heterostructure Clusters Toward Efficient and CO‐Tolerant Alkaline Hydrogen Oxidation Reaction","Advanced Energy Materials","","1614-6832, 1614-6840","10.1002/aenm.202404266","https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202404266","Abstract                            Designing efficient and CO‐tolerant catalysts for hydrogen oxidation reaction (HOR) in anode is one of the challenges for alkaline exchange membrane fuel cells in practical application. Herein, Ru‐MnO heterostructure with two adjacent clusters supported on commercial carbon (BP 2000) (denoted as Ru‐MnO/C) is designed to accelerate the sluggish kinetics of alkaline HOR. The cluster–cluster heterostructure interface modifies the electronic structure of Ru sites with electron transfer from Ru to MnO, then optimizes the adsorption of intermediates on Ru sites. Consequently, this catalyst exhibits high catalytic HOR activities in alkaline media with high exchange current density (3.71 mA cm               −2               ) and mass activity (0.78 A mg               Ru               −1               ). Meanwhile, the alkaline exchange membrane fuel cell delivers a specific peak power density (PPD) of 7.0 W mg               −1               Ru               under H               2               /O               2               condition, which is higher than that of most reported catalysts. More importantly, the catalyst also demonstrates the remarkable stability and CO‐tolerance. This work presents the superiority of cluster–cluster heterostructure interface toward efficient HOR, which is expected to further enlighten the design of advanced catalysts for electrocatalysis.","2025-03","2026-01-07 12:24:51","2026-01-07 12:24:51","2026-01-07 12:24:51","2404266","","11","15","","Advanced Energy Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\M5GPEH8P\Zhang 等 - 2025 - Ru‐MnO Heterostructure Clusters Toward Efficient and CO‐Tolerant Alkaline Hydrogen Oxidation Reactio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCWJEHTA","journalArticle","2025","Liu, Guimei; Liu, Yushen; Qiu, Xiaoyi; Zhang, Bingxing; Jang, Juhee; Cui, Yingdan; Xiao, Fei; Zhao, Qinglan; Wang, Wenjun; Kim, Yoonseob; Xing, Wei; Shao, Minhua","Inert Copper Incorporation Enables the High Activity and Durability of NiW Electrocatalyst for Alkaline Hydrogen Oxidation Reaction","Advanced Energy Materials","","1614-6832, 1614-6840","10.1002/aenm.202405127","https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202405127","Abstract                            The slow reaction kinetics of hydrogen oxidation reaction (HOR) on existing catalysts in alkaline hinders the commercialization of anion exchange membrane fuel cells (AEMFCs). In this work, a Cu‐incorporated NiW alloy (Cu               i               ‐NiW) without any platinum group metal (PGM) is designed and evaluated in both liquid cells and AEMFCs. This catalyst enabled the achievement of an electrochemical surface area‐normalized exchange current density of 70 µA cm               −2               and robust stability, outperforming most PGM‐free catalysts. Furthermore, the incorporation of Cu into other systems such as NiMo and NiV using the same method also showcased excellent HOR activity and durability. The fuel cells assembled with Cu               i               ‐NiW as the anode and Pt/C or Fe‐N‐C as the cathode delivered peak power densities of 480 and 340 mW cm               −2               , respectively. Experimental and theoretical studies reveal that the incorporated Cu is chemically inert but enhances the overall oxidation resistance of the catalysts. Moreover, it weakens hydrogen adsorption and promotes the adsorption of hydroxide ions, thereby enhancing the HOR activity significantly. These results may open a door for rational design of high‐performance and durable PGM‐free HOR catalysts.","2025-05","2026-01-07 12:25:00","2026-01-07 12:25:00","2026-01-07 12:25:00","2405127","","20","15","","Advanced Energy Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\VQ7PRGBS\Liu 等 - 2025 - Inert Copper Incorporation Enables the High Activity and Durability of NiW Electrocatalyst for Alkal.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
