"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Q72ZGVX6","journalArticle","2016","Gao, Xiaohui; Du, Cheng; Zhang, Chunmei; Chen, Wei","Copper Nanoclusters on Carbon Supports for the Electrochemical Oxidation and Detection of Hydrazine","ChemElectroChem","","2196-0216, 2196-0216","10.1002/celc.201600036","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/celc.201600036","Abstract                            Owing to the definite composition and unique properties, metal nanoclusters have attracted much attention in recent years. In this work, we design a simple one‐pot chemical method to synthesize a new type of copper clusters. The structures and composition of the clusters are characterized by using various techniques. Electrospray ionization mass spectrometry characterizations clearly show that the product is mainly composed of a seven‐copper‐atom core and three thiolate ligands with the formula of Cu               7               (C               7               H               5               O               2               S)               3               −               , together with four‐ and six‐copper‐atom clusters. On the other hand, direct hydrazine fuel cells have attracted extensive research interests and more and more efforts have been devoted into the development of novel catalysts for the electrochemical oxidation and detection of hydrazine. Here, we investigate the electrocatalytic performance of the copper clusters towards the oxidation and detection of hydrazine. Electrochemical studies display that the synthesized cluster compounds supported on activated carbon show an onset potential of −0.42 V and a current density of 20 mA cm               −2               at the potential of 0.36 V for the oxidation of hydrazine. Meanwhile, the copper clusters show a limit of detection of 1.04 μ               m               and a sensitivity of 0.408 mA cm               −2                m               m               −1               in the detection of hydrazine. These studies clearly demonstrate that the as‐synthesized copper clusters exhibit excellent electrocatalytic performance for the oxidation and detection of hydrazine. Notably, the catalytic performance is superior to the previously reported Cu‐based or Ni‐based, and even noble‐metal‐based, catalysts.","2016-08","2026-01-07 12:59:37","2026-01-07 12:59:37","2026-01-07 12:59:37","1266-1272","","8","3","","ChemElectroChem","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\5FLL8JMU\Gao 等 - 2016 - Copper Nanoclusters on Carbon Supports for the Electrochemical Oxidation and Detection of Hydrazine.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HE56S5JU","journalArticle","2022","Munde, Ajay; Sharma, Priti; Dhawale, Somnath; Kadam, Ravishankar G.; Kumar, Subodh; Kale, Hanumant B.; Filip, Jan; Zboril, Radek; Sathe, Bhaskar R.; Gawande, Manoj B.","Interface Engineering of SRu-mC3N4 Heterostructures for Enhanced Electrochemical Hydrazine Oxidation Reactions","Catalysts","","2073-4344","10.3390/catal12121560","https://www.mdpi.com/2073-4344/12/12/1560","Hydrazine oxidation in single-atom catalysts (SACs) could exploit the efficiency of metal atom utilization, which is a substitution for noble metal-based electrolysers that results in reduced overall cost. A well-established ruthenium single atom over mesoporous carbon nitride (SRu-mC3N4) catalyst is explored for the electro-oxidation of hydrazine as one of the model reactions for direct fuel cell reactions. The electrochemical activity observed with linear sweep voltammetry (LSV) confirmed that SRu-mC3N4 shows an ultra-low onset potential of 0.88 V vs. RHE, and with a current density of 10 mA/cm2 the observed potential was 1.19 V vs. RHE, compared with mesoporous carbon nitride (mC3N4) (1.77 V vs. RHE). Electrochemical impedance spectroscopy (EIS) and chronoamperometry (i-t) studies on SRu-mC3N4 show a smaller charge-transfer resistance (RCt) of 2950 Ω and long-term potential, as well as current stability of 50 h and 20 mA/cm2, respectively. Herein, an efficient and enhanced activity toward HzOR was demonstrated on SRu-mC3N4 from its synergistic platform over highly porous C3N4, possessing large and independent active sites, and improving the subsequent large-scale reaction.","2022-12-02","2026-01-07 12:59:48","2026-01-07 12:59:48","2026-01-07 12:59:48","1560","","12","12","","Catalysts","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\RP35BIKU\Munde 等 - 2022 - Interface Engineering of SRu-mC3N4 Heterostructures for Enhanced Electrochemical Hydrazine Oxidation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FC7G9G92","journalArticle","2023","Lim, Chaeeun; Roh, Hyogyun; Kim, Eun Ho; Kim, Hangyeol; Park, Taiho; Lee, Donghwa; Yong, Kijung","Energy‐Efficient and Self‐Powered Green Ammonia Synthesis by Electrochemical Nitrate Reduction Combined with Hydrazine Oxidation","Small","","1613-6810, 1613-6829","10.1002/smll.202304274","https://onlinelibrary.wiley.com/doi/10.1002/smll.202304274","Abstract                            To achieve the global goal of carbon neutrality, recently, emphasis has been placed on developing green ammonia production method to replace the Haber–Bosch process. Nitrate reduction reaction (NO               3               RR) has received considerable attention, especially for electrochemically producing ammonia from nitrate and simultaneously purifying wastewater. This study first demonstrates that the combination of NO               3               RR with hydrazine oxidation reaction (HzOR) is an energy efficient green ammonia production method, which overcomes the sluggish water oxidation limitation. Tungsten phosphide (WP) nanowires (NWs) are prepared as cathode NO               3               RR electrocatalysts, which exhibit a high Faradaic efficiency in both neutral (≈93%) and alkaline (≈85%) media. Furthermore, they show a high bifunctional activity in anodic reactions and exhibit a low potential 0.024 V for generating a current density of 10 mA cm               −2               in HzOR. The overall NO               3               RR‐HzOR required an impressively low potential of 0.24 V for generating a current density of 10 mA cm               −2               ; this potential is much lower than those required for NO               3               RR‐OER (1.53 V) and NO               3               RR‐UOR (1.31 V). A self‐powered ammonia production system, prepared by assembling an NO               3               RR‐HzOR with a perovskite solar cell, displays a high ammonia production rate of 1.44 mg cm               −2                h               −1               . A single PV cell provides enough driving voltage in the PV‐EC due to low required potential. This system facilitates unassisted green ammonia synthesis with a low energy consumption and also allows upcycling of wastewater to produce useful fuel.","2023-12","2026-01-07 12:59:53","2026-01-07 12:59:53","2026-01-07 12:59:53","2304274","","50","19","","Small","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\T8Z77PWV\Lim 等 - 2023 - Energy‐Efficient and Self‐Powered Green Ammonia Synthesis by Electrochemical Nitrate Reduction Combi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUU9HNXE","journalArticle","2025","Lin, Qinquan; Zhang, Rui; Yan, Changli; Hu, Qizhao; Sang, Shangbin; Wu, Qiumei; Liu, Kaiyu; Liu, Hongtao","Regulating CoP\(_{x}\)/Co heterostructures for enhanced electrocatalytic activity toward hydrazine oxidation reaction","Journal of Metals, Materials and Minerals","","2630-0508, 0857-6149","10.55713/jmmm.v35i2.2348","https://jmmm.material.chula.ac.th/index.php/jmmm/article/view/2348","Hydrazine hydrate (N2H4∙H2O) is considered an ideal fuel for fuel cells. Constructing a cobalt phosphide/cobalt (CoPx/Co) heterostructure can achieve efficient electrocatalytic activity for hydrazine oxidation reaction. Traditional strategies for constructing CoPx/Co heterostructures took less consideration on the exposure of the active sites. In this study, 3D nanoflower-like nano CoPx/Co heterostructures with highly exposed active sites were obtained on a nickel foam (NF) through a dual-component phosphating strategy, i.e., regulating the relative content of Co and Co(OH)2 with cathodic current density and utilizing the differences in their phosphating behaviors. The potential at 100 mA∙cm‒2 and Tafel slope of the optimized CoPx/Co(375)@NF electrode prepared with the cathodic current density of 375 mA∙cm‒2 are ‒37.4 mV (vs.RHE) and 58.9 mA∙dec‒1, respectively, in a 0.2 M N2H4∙H2O solution. The stable potential was maintained after 12 h under a high current density of 100 mA∙cm‒2. The superior electrocatalysis activity toward N2H4∙H2O is proved closely relative with the constructing of CoPx/Co heterostructure. This study provides a new strategy for the development of efficient hydrazine oxidation catalysts by using a dual-component phosphating approach to fully expose the active sites of the CoPx/Co heterostructure.","2025-05-30","2026-01-07 13:00:03","2026-01-07 13:00:03","2026-01-07 13:00:03","e2348","","2","35","","J Met Mater Miner","","","","","","","","","https://creativecommons.org/licenses/by-nc-nd/4.0","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\9RUT3579\Lin 等 - 2025 - Regulating CoP(_{x})Co heterostructures for enhanced electrocatalytic activity toward hydrazine o.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UX986Q9X","journalArticle","2020","Zhang, Chaoxiong; Yuan, Wenjuan; Wang, Qian; Peng, Xianyun; Liu, Xijun; Luo, Jun","Single Cu Atoms as Catalysts for Efficient Hydrazine Oxidation Reaction","ChemNanoMat","","2199-692X, 2199-692X","10.1002/cnma.202000337","https://aces.onlinelibrary.wiley.com/doi/10.1002/cnma.202000337","Abstract                            The development of cost‐effective electrocatalysts is vital for promoting the practical application of hydrazine as a viable energy carrier. However, the catalytic performance of the single‐atom Cu catalyst has not been evaluated with regard to the hydrazine oxidation reaction (HzOR). Herein, single Cu atoms anchored on the surface of the P‐doped C               3               N               4               substrate (Cu−SA/PCN) have been synthesized using a simple method that involved pyrolysis and phosphorization. The as‐obtained Cu−SA/PCN catalyst is observed to demonstrate a suitable efficiency for the electrocatalytic hydrazine oxidation at the anode in an alkaline aqueous solution. Remarkably, the catalyst exhibits an excellent electrolytic activity and strong durability for 30 h. Further, it displays a current density of 100 mA cm               −2               at a low applied potential of 0.336 V versus the reversible hydrogen electrode. Therefore, this study provides a strategy to manufacture single atom catalysts for an efficient HzOR in alkaline media.","2020-10","2026-01-07 13:00:10","2026-01-07 13:00:10","2026-01-07 13:00:10","1474-1478","","10","6","","ChemNanoMat","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\XPSJHZPY\Zhang 等 - 2020 - Single Cu Atoms as Catalysts for Efficient Hydrazine Oxidation Reaction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJW9G8SP","journalArticle","2021","Qian, Qizhu; Zhang, Jihua; Li, Jianming; Li, Yapeng; Jin, Xu; Zhu, Yin; Liu, Yi; Li, Ziyun; El‐Harairy, Ahmed; Xiao, Chong; Zhang, Genqiang; Xie, Yi","Artificial Heterointerfaces Achieve Delicate Reaction Kinetics towards Hydrogen Evolution and Hydrazine Oxidation Catalysis","Angewandte Chemie","","0044-8249, 1521-3757","10.1002/ange.202014362","https://onlinelibrary.wiley.com/doi/10.1002/ange.202014362","Abstract                            Electrochemical water splitting for H               2               production is limited by the sluggish anode oxygen evolution reaction (OER), thus using hydrazine oxidation reaction (HzOR) to replace OER has received great attention. Here we report the hierarchical porous nanosheet arrays with abundant Ni               3               N‐Co               3               N heterointerfaces on Ni foam with superior hydrogen evolution reaction (HER) and HzOR activity, realizing working potentials of −43 and −88 mV for 10 mA cm               −2               , respectively, and achieving an industry‐level 1000 mA cm               −2               at 200 mV for HzOR. The two‐electrode overall hydrazine splitting (OHzS) electrolyzer requires the cell voltages of 0.071 and 0.76 V for 10 and 400 mA cm               −2               , respectively. The H               2               production powered by a direct hydrazine fuel cell (DHzFC) and a commercial solar cell are investigated to inspire future practical applications. DFT calculations decipher that heterointerfaces simultaneously optimize the hydrogen adsorption free energy (Δ               G               H*               ) and promote the hydrazine dehydrogenation kinetics. This work provides a rationale for advanced bifunctional electrocatalysts, and propels the practical energy‐saving H               2               generation techniques.","2021-03-08","2026-01-07 13:00:14","2026-01-07 13:00:14","2026-01-07 13:00:14","6049-6058","","11","133","","Angewandte Chemie","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\LMNQ6I76\Qian 等 - 2021 - Artificial Heterointerfaces Achieve Delicate Reaction Kinetics towards Hydrogen Evolution and Hydraz.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7FD6YQ86","journalArticle","2016","Yamazaki, Shin-ichi; Asazawa, Koichiro; Tanaka, Hirohisa; Ioroi, Tsutomu","Metallocomplex-Based Electrocatalysts for the Oxidation of Hydrazine Derivatives","ECS Meeting Abstracts","","2151-2043","10.1149/MA2016-02/38/2693","https://iopscience.iop.org/article/10.1149/MA2016-02/38/2693","Hydrazine hydrate, which has high energy density, is one of desirable fuels for direct fuel cells. However, toxicity and volatility of this compound might prevent the wide spread of direct hydrazine hydrate fuel cells. In this context, hydrazine derivatives such as N, N-diaminourea (DAU) and methyl carbazate would be a possible remedy for this problem. These hydrazine derivatives are solid, and evaporation of them would be suppressed. Unfortunately, conventional metal catalysts such as Ni, Pt, and Co hardly oxidize these hydrazine derivatives.             In this work, we report a metallocomplex-based electrocatalyst for the oxidation of hydrazine derivatives. These catalysts completely differ from conventional metal-based electrocatalysts in that single atoms form active sites, and hence new oxidation activity would be expected.             We examined metalloporphyrin-based electrocatalysts for the oxidation of DAU. These complexes can oxidize DAU to give considerable current, while conventional Pt catalysts cannot oxidize DAU. The catalytic activities depend on the kinds of central metals; Co-, Rh-, Fe-, Ru-porphyrins give high current. The catalytic activity increased with the change in the ligand from porphyrins to phthalocyanines. Especially, Fe phthalocyanine gave high catalytic activity for the oxidation of DAU; the current exceeded 150 mA/cm2 at 0.6 V vs. a reversible hydrogen electrode (RHE).             There are two possible pathways of the electro-oxidation of DAU by Fe-PC: (1) DAU is directly oxidized by the electrode (direct pathway) and (2) DAU undergoes hydrolysis to produce hydrazine, and the generated hydrazine is oxidized by the electrode (indirect pathway). HPLC analysis and the dependence of the activity on the concentrations of DAU and hydrazine revealed that the oxidation of DAU proceeds mainly via a direct oxidation pathway.             Finally, we made a membrane electrode assembly (MEA) using Fe-PC as an anode catalyst, and examined the performance of the MEA (cathode catalyst is Pt/C and anion-exchange membrane is A201 (Tokuyama)). The cell gave a considerable power; open circuit potential is close to 0.6 V, and the short-circuit current is 180 mA/cm2 at 80 °C. To the best of our knowledge, this is the first report of a polymer electrolyte fuel cell that uses Fe-PC as an anode catalyst, while the electro-oxidation activity of Fe-PC has been studied for several decades.             The authors are grateful to Tokuyama Corporation for donating an ionomer (AS-4) and A201 membrane.","2016-09-01","2026-01-07 13:00:19","2026-01-07 13:00:19","2026-01-07 13:00:19","2693-2693","","38","MA2016-02","","Meet. Abstr.","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SLXNMUL","journalArticle","2006","Ozoemena, Kenneth I.","Anodic Oxidation and Amperometric Sensing of Hydrazine at a Glassy Carbon Electrode Modified with Cobalt (II) Phthalocyanine–cobalt (II) Tetraphenylporphyrin (CoPc- (CoTPP)4) Supramolecular Complex","Sensors","","1424-8220","10.3390/s6080874","https://www.mdpi.com/1424-8220/6/8/874","This paper describes the electrocatalytic behaviour of a glassy carbon electrode (GCE)modified with cobalt(II)phthalocyanine (CoPc) complex peripherally tetrasubstituted withcobalt(II)tetraphenylporphyrin (CoTPP) complexes via ether linkages (i.e., CoPc-(CoTPP)4). Thefeatures of the immobilised pentamer were interrogated with cyclic voltammetry andelectrochemical impedance spectroscopy (EIS) using [Fe(CN)6]3-/4- as redox probe revealedenhanced electron transfer properties with kapp ≈ 18 x 10-6 cms-1 compared to that of the bareGCE (4.7 x 10-6 cms-1). The viability of this supramolecular complex as a redox mediator for theanodic oxidation and sensitive amperometric determination of hydrazine in alkaline conditions isdescribed. The electrocatalytic oxidation of hydrazine by GCE-CoPc-(CoTPP)4 was characterisedwith satisfactory catalytic current response with low non-Faradaic current (ca. 30 times lowerthan the bare GCE) and at much lower oxidation potential (ca. 300 mV lower than the bareGCE). A mechanism for the studied electrocatalytic reaction was proposed based on thespectrophotometric evidence that revealed the major involvement of the Co(III)/Co(II) redox coupleof the central CoPc species rather than the CoTPP component of the pentamer. Rate constant forthe anodic oxidation of hydrazine was estimated from chronoamperometry as ~ 3x103 M-1s-1. Theproposed amperometric sensor displayed excellent charateristics towards the determination ofhydrazine in 0.2 M NaOH ; such as low overpotentials ( 100 mV vs Ag|AgCl), very fastamperometric response time (1 s), linear concentration range of up to 230 μM, with micromolardetection limit, high sensitivity and stability.","2006-08-24","2026-01-07 13:00:27","2026-01-07 13:00:27","2026-01-07 13:00:27","874-891","","8","6","","Sensors","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\KXE7P763\Ozoemena - 2006 - Anodic Oxidation and Amperometric Sensing of Hydrazine at a Glassy Carbon Electrode Modified with Co.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPVNTUUB","journalArticle","2023","Jokazi, Mbulelo; Mpeta, Lekhetho S.; Nyokong, Tebello","Electrocatalytic Behavior of Manganese and Cobalt Porphyrins Attached to Graphene Quantum Dots: Applied in the Oxidation of Hydrazine","Electroanalysis","","1040-0397, 1521-4109","10.1002/elan.202200222","https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/elan.202200222","Abstract                            Manganese and cobalt metalated 5, 10, 15‐tris(aminophenyl)‐20‐(4‐carboxyphenyl) porphyrins (ClMnTA               3               CPP and CoTA               3               CPP) were synthesized and attached to graphene quantum dots (GQDs) via π‐π interaction and electrostatic interaction. The electrochemical oxidation of hydrazine was performed via cyclic voltammetry and chronoamperometry. The CoTA               3               CPP showed good electrocatalytic activity towards the oxidation of hydrazine in terms of catalytic rate constants and limits of detection (LoD). ClMnTA               3               CPP showed lower overpotential 0.60 V. The introduction of GQDs improved the electrocatalytic ability when combined with CoTA               3               CPP and ClMnTA               3               CPP with the lowest LoD (0.0025 mM CoTA               3               CPP–GQDs) followed by ClMnTA               3               CPP–GQDs with 0.0033 mM.","2023-03","2026-01-07 13:00:30","2026-01-07 13:00:30","2026-01-07 13:00:30","e202200222","","3","35","","Electroanalysis","Electrocatalytic Behavior of Manganese and Cobalt Porphyrins Attached to Graphene Quantum Dots","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\STM8IJHW\Jokazi 等 - 2023 - Electrocatalytic Behavior of Manganese and Cobalt Porphyrins Attached to Graphene Quantum Dots Appl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7GM4EKNL","journalArticle","2017","Wang, Jianmei; Kong, Rongmei; Asiri, Abdullah M.; Sun, Xuping","Replacing Oxygen Evolution with Hydrazine Oxidation at the Anode for Energy‐Saving Electrolytic Hydrogen Production","ChemElectroChem","","2196-0216, 2196-0216","10.1002/celc.201600759","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/celc.201600759","Abstract                            We report the development of a cobalt phosphide nanoarray as an efficient and stable catalyst for the hydrazine oxidation reaction (HzOR) in alkaline media. Its high hydrogen evolution reaction (HER) activity enables it to be used as a bifunctional catalyst for less energy‐intensive electrolytic hydrogen generation by replacing the sluggish oxygen evolution reaction with HzOR. The corresponding two‐electrode electrolyzer using such a nanoarray as both the anode for HzOR and the cathode for HER only needs a cell voltage of 0.2 V to drive 10 mA cm               −2               in 1.0 M KOH with 100 mM hydrazine, which is 1.45 V less than that for pure water splitting. This electrolyzer also shows strong long‐term electrochemical durability with nearly 100 % faradic efficiency for hydrogen evolution.","2017-03","2026-01-07 13:00:38","2026-01-07 13:00:38","2026-01-07 13:00:38","481-484","","3","4","","ChemElectroChem","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\PKQ9JG78\Wang 等 - 2017 - Replacing Oxygen Evolution with Hydrazine Oxidation at the Anode for Energy‐Saving Electrolytic Hydr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
