"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4A998XMQ","journalArticle","2018","Weidner, Jonas; Barwe, Stefan; Sliozberg, Kirill; Piontek, Stefan; Masa, Justus; Apfel, Ulf-Peter; Schuhmann, Wolfgang","Cobalt–metalloid alloys for electrochemical oxidation of 5-hydroxymethylfurfural as an alternative anode reaction in lieu of oxygen evolution during water splitting","Beilstein Journal of Organic Chemistry","","1860-5397","10.3762/bjoc.14.121","https://www.beilstein-journals.org/bjoc/articles/14/121","The electrochemical water splitting commonly involves the cathodic hydrogen and anodic oxygen evolution reactions (OER). The oxygen evolution reaction is more energetically demanding and kinetically sluggish and represents the bottleneck for a commercial competitiveness of electrochemical hydrogen production from water. Moreover, oxygen is essentially a waste product of low commercial value since the primary interest is to convert electrical energy into hydrogen as a storable energy carrier. We report on the anodic oxidation of 5-hydroxymethylfurfural (HMF) to afford the more valuable product 2,5-furandicarboxylic acid (FDCA) as a suitable alternative to the oxygen evolution reaction. Notably, HMF oxidation is thermodynamically more favorable than water oxidation and hence leads to an overall improved energy efficiency for H               2               production. In addition, contrary to the “waste product O               2               ”, FDCA can be further utilized, e.g., for production of polyethylene 2,5-furandicarboxylate (PEF), a sustainable polymer analog to polyethylene terephthalate (PET) and thus represents a valuable product for the chemical industry with potential large scale use. Various cobalt–metalloid alloys (CoX; X = B, Si, P, Te, As) were investigated as potential catalysts for HMF oxidation. In this series, CoB required 180 mV less overpotential to reach a current density of 55 mA cm               −2               relative to OER with the same electrode. Electrolysis of HMF using a CoB modified nickel foam electrode at 1.45 V vs RHE achieved close to 100% selective conversion of HMF to FDCA at 100% faradaic efficiency.","2018-06-13","2026-01-05 13:17:14","2026-01-08 03:58:01","2026-01-08 03:12:56","1436-1445","","","14","","Beilstein J. Org. Chem.","","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\ERQJK8Y9\Weidner 等 - 2018 - Cobalt–metalloid alloys for electrochemical oxidation of 5-hydroxymethylfurfural as an alternative a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RPUJTZ22","journalArticle","2025","Shen, Yi; Deng, Hao; Huang, Yu‐Cheng; Du, Puyu; Zhou, Haotian; Ma, Meng; Shen, Aijing; Wang, Miao; Dong, Chung‐Li; Xu, Linpeng; Shen, Shaohua","Promoted Electrochemical Reconstruction of Glassy Metal–Organic Frameworks for Efficient Electrocatalytic 5‐Hydroxymethylfurfural Oxidation","Advanced Energy Materials","","1614-6832, 1614-6840","10.1002/aenm.202405364","https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202405364","Abstract                            Glassy metal–organic frameworks (MOFs) featured with excellent ionic conductivity and processability have attracted tremendous attention, yet remaining unexplored for electrocatalytic 5‐hydroxymethylfurfural (HMF) oxidation. Herein, developed as the first example of glassy MOFs for electrocatalytic HMF oxidation reaction (HMFOR), glassy ZIF‐CoNi (ZIF‐CoNi(g)) is prepared via a ball‐milling and melt‐quenching two‐step process, which is further electrochemically treated by cyclic voltammetry. The obtained surface reconstructed ZIF‐CoNi(g) (R‐ZIF‐CoNi(g)) exhibits excellent HMFOR performance, with 100% HMF conversion, 99.6% 2,5‐furandicar‐boxylic acid (FDCA) yield, and 98.5% FDCA faradaic efficiency (FE) achieved at 1.48 V versus reversible hydrogen electrode (RHE). Remarkably, with R‐ZIF‐CoNi(g) as the anode and Pt/C as the cathode, the integrated membrane electrode assembly (MEA) electrolyzer could reach a current density of 100 mA cm               −2               at 1.68 V for simultaneous HMFOR and hydrogen evolution reaction (HER). Experimental results and theoretical calculations demonstrate that the disordered Co–N bond arrangement and then the weakened Co–N bond would promote electrochemical reconstruction happened to ZIF‐CoNi(g) with abundant CoOOH active sites created, which benefit HMF dynamic adsorption and HMFOR kinetics. This exemplar success in glassy MOFs for electrocatalytic HMFOR has exploited a novel strategy to the rational design of economic electrocatalysts with electrochemical reconstruction manipulated for efficient biomass upgrading.","2025-05","2026-01-05 13:17:32","2026-01-08 03:58:01","2026-01-08 03:13:34","2405364","","18","15","","Advanced Energy Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\RUEU7GGP\Shen 等 - 2025 - Promoted Electrochemical Reconstruction of Glassy Metal–Organic Frameworks for Efficient Electrocata.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7WFR2C3W","journalArticle","2019","Chadderdon, Xiaotong; Chadderdon, David J; Li, Wenzhen","Electrocatalytic Hydrogenation and Oxidation of 5-Hydroxymethylfurfural for Efficient Production of Biobased Monomers: A Paired Electrolyzer Approach","ECS Meeting Abstracts","","2151-2043","10.1149/MA2019-02/20/1036","https://iopscience.iop.org/article/10.1149/MA2019-02/20/1036","Electrochemical conversion of biorenewable compounds is a promising route for sustainable chemical production. Herein, we report a high efficiency for electrocatalytic conversion of 5-(hydroxymethyl)furfural (HMF) to two biobased monomers by pairing HMF reduction and oxidation reactions in a single electrochemical cell. HMF hydrogenation to 2,5-bis(hydroxymethyl)furan (BHMF) was achieved under mild electrolyte conditions (pH 9.2) over a Ag/C catalyst at the cathode. The selectivity and efficiency for Ag-catalyzed BHMF formation were sensitive to cathode potential, owing to competition from HMF hydrodimerization reactions and hydrogen evolution. Moreover, the carbon support of Ag/C was active for HMF reduction and contributed to undesired dimer formation at strong cathodic potentials. As a result, high BHMF selectivity and efficiency was only achieved within a narrow potential range near –1.3 V. At the anode, HMF oxidation to 2,5-furandicarboxylic acid (FDCA) with ~100% efficiency was achieved under the same conditions by a homogeneous redox mediator, 4-acetamido-TEMPO (ACT), together with an inexpensive carbon felt anode. Furtunately, the insensitive selectivity of ACT-mediated HMF oxidation anode potential allows HMF hydrogenation and oxidation reactions to perform together in a single electrochemical cell, which demonstrates high molar yields of BHMF and FDCA (86% and 96%, respectively) and a combined electron efficiency of 187%, which is nearly two-fold enhancement compared to the unpaired cells. Our recent progress in developing porous Ag electrode materials for electrochemical reduction will also be presented.","2019-09-01","2026-01-08 03:13:48","2026-01-08 03:13:48","2026-01-08 03:13:48","1036-1036","","20","MA2019-02","","Meet. Abstr.","Electrocatalytic Hydrogenation and Oxidation of 5-Hydroxymethylfurfural for Efficient Production of Biobased Monomers","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCDKH4SI","journalArticle","2021","Suliman, Mohammed A.; Basheer, Chanbasha; Farooq, Wasif","Cobalt Boride/g-C3N4 Nanosheets-Assisted Electrocatalytic Oxidation of 5-Hydroxymethylfurfural into 2,5-Furandicarboxylic Acid","Catalysts","","2073-4344","10.3390/catal11101241","https://www.mdpi.com/2073-4344/11/10/1241","The electrochemical production of 2,5-furandicarboxylic acid (FDCA) from 5-(hydroxymethyl)furfural (HMF) is receiving growing attention. The FDCA-based polyethylene 2,5-furan dicarboxylate (PEF) polymer is a green candidate for substituting polyethylene terephthalate. This work demonstrated a highly efficient CoB/g-C3N4 nanosheet on the surface of the nickel foam as an electrode for the HMF electrooxidation reaction. Electrolysis at a constant potential combined with liquid chromatography showed the formation of FDCA with a yield of 97% with an excellent faradaic efficiency of near 95%. CoB/g-C3N4 achieved a current density of 20 mA cm−2 for HMF oxidation in 1.0 M KOH with 10 mM HMF at 1.37 V vs. RHE before the competing oxygen evolution reaction. The electrocatalyst was effectively reused up to three times without compromising efficiency. This work demonstrates a cheap and active electrocatalyst material for the electrochemical formation of FDCA from HMF and gives perception into the reaction mechanism.","2021-10-15","2026-01-05 13:17:34","2026-01-08 03:58:01","2026-01-08 03:13:56","1241","","10","11","","Catalysts","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\6RDE2B7Z\Suliman 等 - 2021 - Cobalt Borideg-C3N4 Nanosheets-Assisted Electrocatalytic Oxidation of 5-Hydroxymethylfurfural into.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LK57YHCV","journalArticle","2023","Zhao, Gongchi; Hai, Guangtong; Zhou, Peiyun; Liu, Zhimeng; Zhang, Yanyan; Peng, Baoxiang; Xia, Wei; Huang, Xiubing; Wang, Ge","Electrochemical Oxidation of 5‐Hydroxymethylfurfural on CeO<sub>2</sub> ‐Modified Co<sub>3</sub> O<sub>4</sub> with Regulated Intermediate Adsorption and Promoted Charge Transfer","Advanced Functional Materials","","1616-301X, 1616-3028","10.1002/adfm.202213170","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.202213170","Abstract                            Electrocatalytic 5‐hydroxymethylfurfural oxidation reaction (HMFOR) can replace the kinetically slow oxygen evolution reaction to yield high value‐added chemicals. In this study, interface engineering is constructed by modifying CeO               2               nanoparticles on Co               3               O               4               nanowires supported by nickel foam (NF). The construction of the heterointerface can facilitate the structural evolution of catalysts and charge transfer, as a result, the successfully synthesized NF@Co               3               O               4               /CeO               2               exhibits higher 5‐hydroxymethylfurfural conversion (98.0%), 2,5‐furandicarboxylic acid (FDCA) yield (94.5%), and Faradaic efficiency (97.5%) at a low electrolysis potential of 1.40 V               RHE               compared to NF@Co               3               O               4               and NF@CeO               2               . Density‐functional theory calculations indicate that the establishment of heterointerface can effectively regulate the intermediate adsorption and promote electron transfer, which greatly reduces the activation energy of the dehydrogenation step in 5‐formyl‐2‐furancarboxylic acid (FFCA), and promotes the further oxidation of FFCA to FDCA, thereby improving the performance of HMFOR. In this study, the HMFOR behavior of the Co               3               O               4               /CeO               2               interface effect is deeply explored, which provides guidance for the future design of heterointerface catalysts with efficient HMFOR performance.","2023-04","2026-01-05 13:18:42","2026-01-08 03:58:02","2026-01-08 03:14:05","2213170","","14","33","","Adv Funct Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\U7BLDG84\Zhao 等 - 2023 - Electrochemical Oxidation of 5‐Hydroxymethylfurfural on CeO2 ‐Modified Co3 Os.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDIQLLVC","journalArticle","2021","Xie, Yanan; Zhou, Zhaoyu; Yang, Nianjun; Zhao, Guohua","An Overall Reaction Integrated with Highly Selective Oxidation of 5‐Hydroxymethylfurfural and Efficient Hydrogen Evolution","Advanced Functional Materials","","1616-301X, 1616-3028","10.1002/adfm.202102886","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.202102886","Abstract                            Thermodynamically favorable electrooxidation reactions of biomass derivatives integrated with hydrogen evolution reaction (HER) can simultaneously provide value‐added chemicals and hydrogen, and eventually meeting the need for clean and sustainable energy development. Herein, the integration of a six‐electron involved anodic half‐reaction‐selective electrooxidation of 5‐hydroxymethylfurfural into 2,5‐furandicarboxylic acid (FDCA) on a hierarchically layered double hydroxide (CoFe@NiFe) with a cathodic HER in a two‐chamber system is reported. The overall reaction reaches 38 mA cm               −2               at 1.40 V and exhibits 100% selectivity to yield FDCA and a nearly 100% Faraday efficiency with hydrogen production of 901 µmol cm               −2               . Several operando techniques confirm that the trivalent nickel species in the CoFe@NiFe catalyst are mainly responsible for this 100%‐selective oxidation reaction. This integrated overall reaction is thus a new strategy to utilize cheap catalysts and biomass derivatives to simultaneously produce value‐added chemicals and sustainable energy materials, and eventually to solve current challenges of energy depletion and environmental pollution.","2021-08","2026-01-05 13:18:44","2026-01-08 03:58:02","2026-01-08 03:14:13","2102886","","34","31","","Adv Funct Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\LZ4DYLY7\Xie 等 - 2021 - An Overall Reaction Integrated with Highly Selective Oxidation of 5‐Hydroxymethylfurfural and Effici.pdf; C:\Users\Administrator\Zotero\storage\YN7NJPNK\Xie 等 - 2021 - An Overall Reaction Integrated with Highly Selective Oxidation of 5‐Hydroxymethylfurfural and Effici.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6J8KR5A","journalArticle","2025","Li, Kewang; Lu, Huiying; Shi, Huijie","Engineering the Morphology and Electronic Structure of NiCo<sub>2</sub> O<sub>4</sub> to Boost the Electrocatalytic Oxidation of 5‐Hydroxymethylfurfural","ChemSusChem","","1864-5631, 1864-564X","10.1002/cssc.202402605","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cssc.202402605","Abstract                            Electrocatalytic biomass conversion using green electricity is regarded as an important strategy to meet the requirement of sustainable development. NiCo               2               O               4               electrodes with different morphologies and electronic structures were fabricated by changing the precipitants used in the solvothermal process, and applied in the electrocatalytic 5‐hydroxymethylfurfural oxidation (HMFOR). The experimental and theoretical calculation results showed NiCo               2               O               4               nanosheets (NCO‐Ns) with low Co/Ni ratio exhibited larger adsorption energy towards HMF and superior intrinsic catalytic activity in HMFOR, while NiCo               2               O               4               nanoneedles (NCO‐Nn) with larger electrochemical active surface areas presented faster electron transfer kinetics and enhanced catalytic performance for 50 mM HMF with a higher conversion rate (99.9 %), 2,5‐furanodicarboxylic acid (FDCA) selectivity (98.6 %) and faraday efficiency (98.6 %). It indicated that compared with NCO‐Ns, NCO‐Nn providing more active sites was kinetically favorable for improving HMFOR efficiency. In‐situ electrochemical Raman investigation revealed that in strong alkaline media, NiOOH formed by the electrochemical reconstruction of NiCo               2               O               4               surface served as the main active species in HMFOR, and an indirect oxidation mechanism was elucidated. This work established the relationship between the electrocatalytic performance of a catalyst and the surface morphology and electronic structure in HMFOR, provided a new idea for improving the electrocatalytic activity of a catalyst, and supported it experimentally.","2025-05-05","2026-01-05 13:18:45","2026-01-08 03:58:02","2026-01-08 03:14:19","e202402605","","9","18","","ChemSusChem","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\JGC38GQB\Li 等 - 2025 - Engineering the Morphology and Electronic Structure of NiCo2 O4 to Boost the E.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIFFFD6P","journalArticle","2024","Jiang, Xiaoli; Ma, Xianhui; Yang, Yuanteng; Liu, Yang; Liu, Yanxia; Zhao, Lin; Wang, Penglei; Zhang, Yagang; Lin, Yue; Wei, Yen","Enhancing the Electrocatalytic Oxidation of 5-Hydroxymethylfurfural Through Cascade Structure Tuning for Highly Stable Biomass Upgrading","Nano-Micro Letters","","2311-6706, 2150-5551","10.1007/s40820-024-01493-3","https://link.springer.com/10.1007/s40820-024-01493-3","Abstract                            Electrocatalytic 5-hydroxymethylfurfural oxidation reaction (HMFOR) provides a promising strategy to convert biomass derivative to high-value-added chemicals. Herein, a cascade strategy is proposed to construct Pd–NiCo               2               O               4               electrocatalyst by Pd loading on Ni-doped Co               3               O               4               and for highly active and stable synergistic HMF oxidation. An elevated current density of 800 mA cm               –2               can be achieved at 1.5 V, and both Faradaic efficiency and yield of 2,5-furandicarboxylic acid remained close to 100% over 10 consecutive electrolysis. Experimental and theoretical results unveil that the introduction of Pd atoms can modulate the local electronic structure of Ni/Co, which not only balances the competitive adsorption of HMF and OH               –               species, but also promote the active Ni               3+               species formation, inducing high indirect oxidation activity. We have also discovered that Ni incorporation facilitates the Co               2+               pre-oxidation and electrophilic OH* generation to contribute direct oxidation process. This work provides a new approach to design advanced electrocatalyst for biomass upgrading.","2024-12","2026-01-05 13:18:46","2026-01-08 03:58:02","2026-01-08 03:14:27","275","","1","16","","Nano-Micro Lett.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\JLJ26GB6\Jiang 等 - 2024 - Enhancing the Electrocatalytic Oxidation of 5-Hydroxymethylfurfural Through Cascade Structure Tuning.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"986XISJV","journalArticle","2021","Wang, Changlong; Bongard, Hans‐Josef; Yu, Mingquan; Schüth, Ferdi","Highly Ordered Mesoporous Co<sub>3</sub> O<sub>4</sub> Electrocatalyst for Efficient, Selective, and Stable Oxidation of 5‐Hydroxymethylfurfural to 2,5‐Furandicarboxylic Acid","ChemSusChem","","1864-5631, 1864-564X","10.1002/cssc.202002762","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cssc.202002762","Abstract                            Electrochemical oxidation of biomass substrates to valuable bio‐chemicals is highly attractive. However, the design of efficient, selective, stable, and inexpensive electrocatalysts remains challenging. Here it is reported how a 3D highly ordered mesoporous Co               3               O               4               /nickel foam (om‐Co               3               O               4               /NF) electrode fulfils those criteria in the electrochemical oxidation of 5‐hydroxymethylfurfural (HMF) to value‐added 2,5‐furandicarboxylic acid (FDCA). Full conversion of HMF and an FDCA yield of >99.8 % are achieved with a faradaic efficiency close to 100 % at a potential of 1.457 V vs. reversible hydrogen electrode. Such activity and selectivity to FDCA are attributed to the fast electron transfer, high electrochemical surface area, and reduced charge transfer resistance. More impressively, remarkable catalyst stability under long‐term testing is obtained with 17 catalytic cycles. This work highlights the rational design of metal oxides with ordered meso‐structures for electrochemical biomass conversion.","2021-12-06","2026-01-05 13:18:56","2026-01-08 03:58:03","2026-01-08 03:14:37","5199-5206","","23","14","","ChemSusChem","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\7JLNS4IM\Wang 等 - 2021 - Highly Ordered Mesoporous Co3 O4 Electrocatalyst for Efficient, Selective, and.pdf; C:\Users\Administrator\Zotero\storage\IJX8QTMB\Wang 等 - 2021 - Highly Ordered Mesoporous Co3 O4 Electrocatalyst for Efficient, Selective, and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAMLK7M7","journalArticle","2023","Xiao, Difei; Bao, Xiaolei; Dai, Dujuan; Gao, Yugang; Si, Shenghe; Wang, Zeyan; Liu, Yuanyuan; Wang, Peng; Zheng, Zhaoke; Cheng, Hefeng; Dai, Ying; Huang, Baibiao","Boosting the Electrochemical 5‐Hydroxymethylfurfural Oxidation by Balancing the Competitive Adsorption of Organic and OH<sup>−</sup> over Controllable Reconstructed Ni<sub>3</sub> S<sub>2</sub> /NiO <i><sub>x</sub> </i>","Advanced Materials","","0935-9648, 1521-4095","10.1002/adma.202304133","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202304133","Abstract                            The electrocatalytic oxidation of 5‐hydroxymethylfurfural (HMF) is a promising method for the efficient production of biomass‐derived high‐value‐added chemicals. However, its practical application is limited by: 1) the low activity and selectivity caused by the competitive adsorption of HMF and OH               −               and 2) the low operational stability caused by the uncontrollable reconstruction of the catalyst. To overcome these limitations, a series of Ni               3               S               2               /NiO                                x                              ‐               n               catalysts with controllable compositions and well‐defined structures are synthesized using a novel in situ controlled surface reconstruction strategy. The adsorption behavior of HMF and OH               −               can be continuously adjusted by varying the ratio of NiO                                x                              to Ni               3               S               2               on the catalysts surface, as indicated by in situ characterizations, contact angle analysis, and theoretical simulations. Owing to the balanced competitive adsorption of HMF and OH               −               , the optimized Ni               3               S               2               /NiO                                x                              ‐15 catalyst exhibited remarkable HMF electrocatalytic oxidation performance, with the current density reaching 366 mA cm               −2               at 1.5 V               RHE               and the Faradaic efficiency of the product, 2,5‐furanedicarboxylic acid, reaching 98%. Moreover, Ni               3               S               2               /NiO                                x                              ‐15 exhibits excellent durability, with its activity and structure remaining stable for over 100 h of operation. This study provides a new route for the design and construction of catalysts for value‐added biomass conversion and offers new insights into enhancing catalytic performance by balancing competitive adsorption.","2023-11","2026-01-05 13:19:04","2026-01-08 03:58:03","2026-01-08 03:14:47","2304133","","45","35","","Advanced Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\R87Q5C63\Xiao 等 - 2023 - Boosting the Electrochemical 5‐Hydroxymethylfurfural Oxidation by Balancing the Competitive Adsorpti.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
