"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SLUV4PHN","journalArticle","2024","Wei, Lihai; Meng, Dexing; Mao, Sui; Wu, Xiaodong; Huang, Huabo; Jiang, Qianqian; Tang, Jianguo","Unlocking the potential of amorphous prussian blue with highly active mn sites at room temperature for impressive oxygen evolution reaction and super capacitor electrochemical performance","Small","","1613-6810, 1613-6829","10.1002/smll.202303946","https://onlinelibrary.wiley.com/doi/10.1002/smll.202303946","Abstract                            The key to increasing the rate of oxygen evolution reaction (OER) lies in accelerated four‐electron dynamics, while the key to facilitating the development of supercapacitors lies in the design of electrode materials. This paper synthesized manganese‐iron Prussian blue (MnFe‐PBA@IF) at room temperature, and hexagonal concave structures w ere prepared using a fast‐reducing matrix. Interestingly, MnFe‐PBA@IF has an amorphous structure favorable to exposing more active surfaces. According to Gibbs free energy calculations on MnFe‐PBA, charge depletion of manganese atoms can greatly enhance the adsorption of electron‐rich oxygen‐containing groups on the surface. Furthermore, the overpotential in 1               m               KOH is 280 mV. Also, it can be used as a supercapacitor with a stable operating voltage range of −0.9–0 V and a specific capacity of 1260 F g               −1               . This work provides new insights into the synthesis of OER catalysts for Prussian blue ferromanganese at room temperature. Non‐gold‐bonded adsorption, highly active metal centers and active surfaces are the underlying reasons for the superior performance of supercapacitors. Therefore, Prussian blue with good energy storage performance and high active surface can be used as multifunctional energy storage and conversion electrodes.","2024-02","2026-01-06 11:06:41","2026-01-08 04:55:12","2026-01-06 11:06:41","2303946","","7","20","","Small","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\AUJGLN69\Wei 等 - 2024 - Unlocking the Potential of Amorphous Prussian Blue with Highly Active Mn Sites at Room Temperature f.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WM384CF","journalArticle","2020","Hao, Minghui; Gaudet, Julie; Guay, Daniel","Ir decorated fractal ni catalysts for the oxygen evolution reaction","ECS Meeting Abstracts","","2151-2043","10.1149/MA2020-01371538mtgabs","https://iopscience.iop.org/article/10.1149/MA2020-01371538mtgabs","Porous and fractal Ni electrode synthesized by the Dynamic Hydrogen Bubbling Template (DHBT) method (Ni DHBT electrode) have shown very promising performances for the oxygen evolution reaction (OER) in alkaline electrolyte. This was thought to arise as a result of the extended electrochemical active surface area and its superaerophilic properties that facilitates the release of oxygen bubbles               [1]               . Herein, we report on a method to decorate the Ni DHBT electrode with Ir atoms via a galvanic replacement (GR) reaction. The resulting electrode has very low loadings of Ir (0.26 atom % as determined by EDX). As shown in Figure 1, micrometer-sized pores are observed at the surface of deposits, with pore walls exhibiting a highly porous cauliflower-like secondary structure, with much smaller pore diameter (typically less than 500 nm). The structure seen in Figure 1 was observed over the entire 0.32 cm               2               geometric surface area of the deposits. The morphology of the Ir-modified electrode is not changed with respect to Ni DHBT electrode, indicating that the GR reaction is occurring only at the surface of the deposit. Voltammetry cyclic tests in 1M KOH solution showed hydrogen adsorption/desorption (H               upd               ) peaks of Ir as well as the redox peaks of Ni(OH)               2               which suggested the coexistence of Ir and Ni content at electrode/electrolyte interface. The activity for the OER of Ni DHBT electrode was further improved by decoration with Ir, resulting in an overpotential of 195mV at 10 mA/cm               2               and a Tafel slope of 46 mV/dec. To the best of our acknowledgment, this is one of the best performing Ni based OER catalysts reported so far. The interaction of oxygen bubbles with the electrode surface will also be assessed using both optical imaging and acoustic emission characterization.                                         [1] M. Hao               et al.               , “Hydrogen Bubble Templating of Fractal Ni Catalysts for Water Oxidation in Alkaline Media,”               ACS Appl. Energy Mater.               , vol. 2, no. 8, pp. 5734–5743, Aug. 2019.                                                                                                   Figure 1","2020-05-01","2026-01-06 11:07:44","2026-01-08 04:55:12","2026-01-06 11:07:44","1538-1538","","37","MA2020-01","","Meet. Abstr.","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUSVDX23","journalArticle","2023","Seong, Hoeun; Kim, Jinhee; Chang, Kiyoung; Kim, Hyun-woo; Choi, Woojun; Lee, Dongil","Ni foam-supported ni nanoclusters for enhanced electrocatalytic oxygen evolution reaction","Journal of Electrochemical Science and Technology","","2093-8551, 2288-9221","10.33961/jecst.2023.00024","http://jecst.org/journal/view.php?doi=10.33961/jecst.2023.00024","Developing oxygen evolution reaction (OER) electrocatalysts is essential to accomplish viable CO2 and water electrolysis. Herein, we report the fabrication and OER performance of Ni-foam (NF)-immobilized Ni6 nanoclusters (NCs) (Ni6/NF) prepared by a dip-coating process. The Ni6/NF electrode exhibited a high current density of 500 mA/cm<sup>2</sup> for the OER at an overpotential as low as 0.39 V. Ni6/NF exhibited high durability in an alkaline solution without corrosion. Electrokinetic studies revealed that OER can be easily initiated on Ni6 NC with fast electron-transfer rates. Finally, we demonstrated stable CO2-to-CO electroreduction using an NC-based zero-gap CO2 electrolyzer operated at a current density of 100 mA/cm<sup>2</sup> and a full-cell potential of 2.0 V for 12 h.","2023-08-31","2026-01-06 11:08:01","2026-01-08 04:55:12","2026-01-06 11:08:01","243-251","","3","14","","J. Electrochem. Sci. Technol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\6KSSBWDM\Seong 等 - 2023 - Ni Foam-Supported Ni Nanoclusters for Enhanced Electrocatalytic Oxygen Evolution Reaction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7N2I9DC2","journalArticle","2025","Sun, Lijie; Mi, Yaqun; Li, Bo","Iron-doped NiSe2 and its enhanced oxygen evolution reaction activity","Catalysts","","2073-4344","10.3390/catal15090876","https://www.mdpi.com/2073-4344/15/9/876","Doping a third element or external functional components into binary alloy nanostructured catalysts typically significantly enhances their electrocatalytic performance. This study demonstrates that doping nickel selenide (NiSe2) with approximately 10 at% iron (Fe) is an effective strategy for improving its oxygen evolution reaction (OER) catalytic activity. The resulting Ni0.9Fe0.1Se2 undergoes a structural transformation from its original nanodendritic morphology and exhibits outstanding OER catalytic performance in alkaline media. It achieves a low overpotential of 231 mV at a current density of 10 mA cm−2, which is approximately 30% lower than that of NiSe2 (301 mV). The Tafel slope of Ni0.9Fe0.1Se2 is 116 mV dec−1. However, degradation observed after 5 h of stability testing suggests that the doping process requires further optimization.","2025-09-12","2026-01-06 11:08:08","2026-01-08 04:55:12","2026-01-06 11:08:08","876","","9","15","","Catalysts","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\VMCKS6KK\Sun 等 - 2025 - Iron-Doped NiSe2 and Its Enhanced Oxygen Evolution Reaction Activity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SC52PIM","journalArticle","2024","Qin, Yue; Xu, Qingli; Zhao, Rong; Wang, Qingfa","Highly efficient NiS/ni(OH)<sub>x</sub> heterogeneous structure electrocatalyst with regenerative oxygen vacancies for oxygen evolution reaction","ChemSusChem","","1864-5631, 1864-564X","10.1002/cssc.202400961","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cssc.202400961","Abstract                            Developing low‐cost and highly efficient electrocatalysts toward oxygen evolution reaction (OER) is of vital significance for electrochemical water splitting. Herein, we fabricate a heterostructure NiS/Ni(OH)               x               electrocatalyst (Ni‐S‐n) with regenerative oxygen vacancies via electro‐deposition on nickel foam (NF) followed by a facile NaBH               4               reduction. The resulting Ni‐S‐5 catalyst with appropriate amount of oxygen vacancies (O               vs               ) exhibits extraordinary activity for alkaline OER with overpotential of 142 mV and 248 mV to reach the current density of 10 mA cm               −2               and 100 mA cm               −2               , respectively. This catalyst also shows remarkable durability with 40 h. After the stability test, the excellent OER performance is well recovered by regenerating the surface oxygen vacancies (O               vs               ) significantly with additional NaBH               4               reduction. The Ni‐S‐5 catalyst still displays good activity even after repeating it three times (180 h). The surface oxygen vacancies act as vital active sites for OER. A mechanism of O               vs               species transformation and regeneration based on the Ni‐S‐5 catalyst is proposed, which provides a new direction for exploring ultrastable and efficient OER electrocatalysts with renewable active species.","2024-12-20","2026-01-06 11:08:43","2026-01-08 04:55:12","2026-01-06 11:08:43","e202400961","","24","17","","ChemSusChem","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\IGHX2HDS\Qin 等 - 2024 - Highly Efficient NiSNi(OH)x Heterogeneous Structure Electrocatalyst with Regenerative Ox.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WM2LFPJR","journalArticle","2022","Han, Man Ho; Oh, Hyung-Suk","Electronic structure modulation of sulfur-retaining nickel-based electrocatalyst to improve the oxygen evolution reaction","ECS Meeting Abstracts","","2151-2043","10.1149/MA2022-02441683mtgabs","https://iopscience.iop.org/article/10.1149/MA2022-02441683mtgabs","Water electrolysis is considered as a key energy source to produce hydrogen for achieving a clean and sustainable society. Improving the sluggish kinetics of the oxygen evolution reaction (OER) is focused to overcome the limit efficiency of water electrolysis. Transition metals, especially Ni, are one of the most promising materials for the alkaline OER because of good catalytic activities, stabilities and cost efficiency. Ni based materials, such as Ni oxyhydroxides, hydroxides, phosphides and sulfides, are intensively developed for use as OER catalysts. Recently, the sulfurization of transition metals is introduced as an effective method to improve the intrinsic electrocatalytic activities. The role of S has been summarized in 2 ways. S accelerates the regeneration of transition metals in alkaline media that S is dissolved and exchanged with O species. Mullins et al. reported Nickel oxide derived from Ni-S. It exhibits amorphous and large active surface morphology which is favorable OER. The other role is that remaining S modulates the electronic structures of Ni catalysts reducing the energy barrier for the OER. Wu et al. developed ultrathin Fe-doped Ni               3               S               2               for overall water splitting. Based on density functional theory calculations, the Fe-doped Ni               3               S               2               surface exhibits an optimized energy for water adsorption and dissociation, which enhances the intrinsic activity for the OER. However,               in-situ/operando               experimental studies regarding the effects of residual S are rare.                                         Herein, we report the role of the remaining S in Ni catalysts that exhibit longer Ni-O bonding in the NiOOH phase produced               in-situ               . C-supported Fe- and Co-doped nickel sulfide catalysts (NiFeCo-S/C) is prepared using a simple impregnation method with heating under an H               2               S atmosphere. We tested the electrochemical properties of the NiFeCo-S/C in alkaline media of 1 M KOH. It achieved current density of 10 mA cm               -2               with only overpotential of 267.2 mV. Also, it maintained the OER activities for 24 h at current densities of 10 and 50 mA cm               -2               , respectively. Moreover, the prepared catalyst was analyzed the change of electronic structure and bonding group using in-situ/operando X-ray absorption spectroscopy (XAFS) and surface-enhanced Raman spectroscopy (SERS) under OER condition. Based on these results, we could elucidate the effects of the remaining S during the OER.                                                                                                   Figure 1","2022-10-09","2026-01-06 11:10:26","2026-01-08 04:55:11","2026-01-06 11:10:26","1683-1683","","44","MA2022-02","","Meet. Abstr.","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PYZYFNFJ","journalArticle","2024","Ran, Jiaqi; Chen, Peng; Quan, Xiangning; Si, Mingsu; Gao, Daqiang","Improving the oxygen evolution reaction kinetics in zn‐air battery by iodide oxidation reaction","Small","","1613-6810, 1613-6829","10.1002/smll.202402052","https://onlinelibrary.wiley.com/doi/10.1002/smll.202402052","Abstract                            Zinc‐air batteries (ZABs) have garnered considerable attention as a highly promising contender in the field of energy storage and conversion. Nevertheless, their performance is considerably impeded by the proliferation of dendrites on the Zinc anode and the slow kinetics of the redox reaction on the air cathode. Herein, taking Ag               30%               @LaCoO               3               (Ag               30%               @LCO) heterojunction catalyst as the cathode, it is demonstrated that adding KI additives to the alkaline electrolyte can not only enhance the oxygen electrocatalytic reaction but also inhibit the formation of zinc anode dendrites, thereby achieving a comprehensive improvement in the performance of ZABs. Under the action of the KI additive, the optimized Ag               30%               @LCO catalyst shows a decreased overpotential from 460 to 220 mV at j = 10 mA cm               −2               , while the assembled ZAB shows reduced charging potential (1.8 V), and long cycle stability (180 h). Furthermore, the morphology characterization results indicate a reduction in dendrites on the Zn anode. Both experimental and calculated results indicate that the presence of I               −               as a reaction modifier alters the trajectory of the conventional oxygen evolution reaction, resulting in a more thermodynamically favorable pathway. The introduction of KI additives as electrolytes provides a straightforward approach to developing comprehensively improved ZABs.","2024-10","2026-01-06 11:10:38","2026-01-08 04:55:11","2026-01-06 11:10:38","2402052","","43","20","","Small","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\WS8F5Z6F\Ran 等 - 2024 - Improving the Oxygen Evolution Reaction Kinetics in Zn‐Air Battery by Iodide Oxidation Reaction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILYUVYDA","journalArticle","2020","Gazzotti, Mirko; Stefani, Andrea; Bonechi, Marco; Giurlani, Walter; Innocenti, Massimo; Fontanesi, Claudio","Influence of chiral compounds on the oxygen evolution reaction (OER) in the water splitting process","Molecules","","1420-3049","10.3390/molecules25173988","https://www.mdpi.com/1420-3049/25/17/3988","Results are presented concerning the influence on the water splitting process of enantiopure tartaric acid present in bulk solution. Stainless steel and electrodeposited nickel are used as working electrode (WE) surface. The latter is obtained by electrodeposition on the two poles of a magnet. The influence and role played by the chiral compound in solution has been assessed by comparing the current values, in cyclic voltammetry (CV) experiments, recorded in the potential range at which oxygen evolution reaction (OER) occurs. In the case of tartaric acid and nickel WE a spin polarization of about 4% is found. The use of the chiral environment (bulk solution) and ferromagnetic chiral Ni electrode allows for observing the OER at a more favorable potential: About 50 mV (i.e., a cathodic, less positive, shift of the potential at which the oxygen evolution is observed).","2020-09-01","2026-01-06 11:10:59","2026-01-08 04:55:10","2026-01-06 11:10:59","3988","","17","25","","Molecules","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\6ISGDG32\Gazzotti 等 - 2020 - Influence of Chiral Compounds on the Oxygen Evolution Reaction (OER) in the Water Splitting Process.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z84Z6LTD","journalArticle","2022","Zheng, Xiaobo; Chen, Yaping; Lai, Weihong; Li, Peng; Ye, Chenliang; Liu, Nana; Dou, Shi Xue; Pan, Hongge; Sun, Wenping","Enriched <i>d</i> ‐band holes enabling fast oxygen evolution kinetics on atomic‐layered defect‐rich lithium cobalt oxide nanosheets","Advanced Functional Materials","","1616-301X, 1616-3028","10.1002/adfm.202200663","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.202200663","Abstract                            Developing a reliable synthesis strategy to concurrently realize electronic structure modulation and two‐dimensionalization of materials is of paramount significance yet still challenging. Herein, a facile and universal strategy is reported to fabricate defect‐abundant atomic‐layered materials with unique electronic structures by mechanical shear‐assisted exfoliation. As a proof‐of‐concept demonstration, atomic‐layered defect‐rich LiCoO               2               nanosheets (AD‐LCO) are successfully synthesized, which enable accelerated oxygen evolution kinetics with a substantially decreased oxygen evolution reaction overpotential by 184 and 216 mV at 10 and 50 mA cm               –2               , respectively. X‐ray absorption spectroscopy suggests that AD‐LCO possesses more               d               ‐band holes and enhanced Co‐O covalency. Density functional theory calculations reveal that the presence of Co lattice vacancies can optimize the adsorption kinetics of intermediates, consequently lowering the energy barrier of the rate‐determining step. Importantly, this method has universal applicability to the fabrication of other ultrathin defect‐rich 2D materials such as BN, WS               2               , and MoS               2               . The study has potential implications for offering novel insights into the rational design of ultrathin 2D materials with abundant surface defects for various applications.","2022-07","2026-01-07 15:42:21","2026-01-08 04:53:46","2026-01-07 15:42:21","2200663","","28","32","","Adv Funct Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\G69XKEF8\Zheng 等 - 2022 - Enriched d ‐Band Holes Enabling Fast Oxygen Evolution Kinetics on Atomic‐Layered Defect‐Rich.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2EBPL6S","journalArticle","2022","Zhang, Lingjie; Cai, Weiwei; Bao, Ningzhong; Yang, Hui","Implanting an electron donor to enlarge the d–p hybridization of high‐entropy (oxy)hydroxide: A novel design to boost oxygen evolution","Advanced Materials","","0935-9648, 1521-4095","10.1002/adma.202110511","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202110511","Abstract                            High‐entropy (HE) electrocatalysts are becoming a research hotspot due to their interesting “cocktail effect” and have great potential for tailored catalytic properties. However, it is still a great challenge to illustrate their inherent catalytic mechanism for the “cocktail effect”, and there is also a paucity of quantitative descriptors to characterize the specific catalytic activity and give logical design strategies for HE systems. Herein, the unexpected activation of all metal sites in HE Cu–Co–Fe–Ag–Mo (oxy)hydroxides for the oxygen evolution reaction (OER) is reported, and it is found that metal–oxygen d–p hybridization, as an effective descriptor, can indicate the intrinsic activity of each metal site. According to the quantitative hybridization, introducing an electron donor (e.g., Ag) is raised and verified to reinforce the electrocatalytic activity of the HE system. Consequently, Ag‐decorated Co–Cu–Fe–Ag–Mo (oxy)hydroxide (Ag@CoCuFeAgMoOOH) electrocatalysts are constructed by an electrochemical reconstruction method, and their OER performances are thoroughly characterized. The Ag@CoCuFeAgMoOOH is verified with a low overpotential (270 mV at 100 mA cm               −2               ) and a small Tafel slope (35.3 mV dec               −1               ), as well as good electrochemical stability. The favorable activity of the electron donor and underlying synergistic “cocktail effect” are demonstrated and disclosed. This work opens up a new strategy to guide the design/fabrication of advanced HE electrocatalysts.","2022-07","2026-01-07 15:42:13","2026-01-08 04:53:46","2026-01-07 15:42:13","2110511","","26","34","","Advanced Materials","Implanting an Electron Donor to Enlarge the d–p Hybridization of High‐Entropy (Oxy)hydroxide","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\TK9994SG\Zhang 等 - 2022 - Implanting an Electron Donor to Enlarge the d–p Hybridization of High‐Entropy (Oxy)hydroxide A Nove.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
