"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AJMCSQPX","journalArticle","2024","Han, Zengyu; Roslie, Hany; Tan, Shu Fen; Wu, Dongshuang","Quasi‐in situ observation of MnO<sub>2</sub> nanorods by electrochemical transmission electron microscopy for oxygen reduction reaction process","Advanced Energy and Sustainability Research","","2699-9412, 2699-9412","10.1002/aesr.202300229","https://advanced.onlinelibrary.wiley.com/doi/10.1002/aesr.202300229","Understanding the electrode materials’ surface is of fundamental importance for catalytic studies as most electrochemical reactions take place there. Although several operando techniques have been used to monitor the electrocatalytic process, real‐time imaging techniques for observing the surface change on electrode materials are still a challenge and limited to a few stable catalytic systems. Herein, the quasi‐in situ electrochemical transmission electron microscopy (TEM) was carried out to track the morphological and local structure evolution during the oxygen reduction reaction (ORR) on manganese dioxide (MnO               2               ) for the first time. The α‐MnO               2               nanorods exhibit comparable ORR electrocatalytic activity (half‐wave potential,               E               1/2               : 0.83 vs. 0.85 V vs. RHE; diffusion‐limiting current density,               J               d               : −5.46 vs. −5.52 mA cm               −2               ) and better methanol tolerance than Pt/C. An electrochemical TEM chip assembled with a three‐electrode system was used to perform the electrochemical experiments similar to typical testing procedures. The ex situ and quasi‐in situ TEM images consistently showed that MnO               2               nanorods had undergone surface roughening, and lattice expansion with 0.97% and 1.97% in the               a               and               c               ‐axis, respectively as ORR proceeded. The quasi‐in situ electrochemical TEM fills the gap between ex situ characterization and operando spectroscopies and deepens the mechanistic understanding of electrocatalytic processes.","2024-06","2026-01-06 11:06:21","2026-01-08 04:55:12","2026-01-06 11:06:21","2300229","","6","5","","Adv Energy and Sustain Res","","","","","","","","en","http://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\H8UC5VYP\Han 等 - 2024 - Quasi‐in situ Observation of MnO2 Nanorods by Electrochemical Transmission Electron Micro.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3EDLTYF","journalArticle","2021","Javed, Rida; Liu, Jiayifang; Kang, Zhaoming; Gong, Yanmei; Xu, Yuan; Ye, Daixin; Zhao, Hongbin; Zhang, Jiujun","Self-doped sulfur enhanced the activity of fe-N for oxygen reduction reaction","Journal of The Electrochemical Society","","0013-4651, 1945-7111","10.1149/1945-7111/abf5a2","https://iopscience.iop.org/article/10.1149/1945-7111/abf5a2","The oxygen reduction reaction (ORR) is an important electrochemical reaction for fuel cells and metal-air batteries. A highly-active and stable electrocatalyst is required to improve the sluggish kinetics of the ORR. In this work, a novel electrocatalyst with Fe atoms coordinated on a N-doped carbon support was designed using biowaste (peanut shells) as the source of carbon, sulfur, and nitrogen. Moreover, by controlling the electron-donating/withdrawing properties of the carbon skeleton, an instinctive design strategy that combines sulfur functionalities was used to modify and boost the catalytic activity of Fe-N active sites. The synthesized Fe-N/S-C catalyst exhibited excellent ORR performance, with a half-wave potential of 0.87 V vs RHE, a limiting current density of 5.21 mA cm               −2               , and an onset potential of 1.13 V in 0.1 M KOH solution. Additionally, this peanut shell-derived Fe-N/S-C catalyst was applied in a zinc-air battery (ZAB) as an air cathode, which displayed a power density of 190 mW cm               −2               .","2021-04-01","2026-01-06 11:09:21","2026-01-08 04:55:12","2026-01-06 11:09:21","046512","","4","168","","J. Electrochem. Soc.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\AXNJ2TCZ\Javed 等 - 2021 - Self-Doped Sulfur Enhanced the Activity of Fe-N for Oxygen Reduction Reaction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4DV9M69","journalArticle","2023","Guo, Xinjie; Gan, Xingyu; Wang, Yun; Lv, Xiaoxia; Wang, Fengxiang; Wang, Shuxin; Peng, Shan","MOF‐derived oxygen vacancy‐rich co/CoO@NC‐CNTs hybrid electrocatalyst for oxygen reduction reaction","ChemNanoMat","","2199-692X, 2199-692X","10.1002/cnma.202200521","https://aces.onlinelibrary.wiley.com/doi/10.1002/cnma.202200521","Abstract             Low‐cost and high‐efficiency oxygen reduction reaction (ORR) electrocatalysts are the basis for large‐scale applications of electrochemical energy storage and conversion technologies such as fuel cells and metal‐air batteries. Herein, cobalt and oxygen vacancy‐rich cobalt oxide encapsulated in nitrogen‐doped carbon and carbon nanotubes (Co/CoO@NC‐CNTs) have been prepared by direct solid‐state pyrolysis of Co‐MOF. The carbon morphology, oxygen vacancy content and type of nitrogen can be finely tuned by mixing Co‐MOF with proper amounts of melamine. The optimized material has an interwoven CNT structure with abundant micro‐ and mesopores, suitable nitrogen type and certain number of oxygen vacancies and exhibiting outstanding ORR electrocatalytic performance in alkaline media with an onset potential of 0.96 V and a half‐wave potential of 0.88 V vs RHE, which is higher than 20 wt% Pt/C, as well as being highly stable and well resistant to methanol.","2023-03","2026-01-06 11:09:53","2026-01-08 04:55:12","2026-01-06 11:09:53","e202200521","","3","9","","ChemNanoMat","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\X6GZN9H7\Guo 等 - 2023 - MOF‐Derived Oxygen Vacancy‐Rich CoCoO@NC‐CNTs Hybrid Electrocatalyst for Oxygen Reduction Reaction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622K9XRP","journalArticle","2017","Song, Liang; Vukmirovic, Miomir B; Adzic, Radoslav R","Platinum monolayer on ir-pd-based nanoparticles for oxygen reduction reaction","ECS Meeting Abstracts","","2151-2043","10.1149/MA2017-01/31/1431","https://iopscience.iop.org/article/10.1149/MA2017-01/31/1431","Proton exchange membrane fuel cells (PEMFCs) have gained extensive attention as one of the most promising technologies for transportation due to their high energy generation efficiency and low environmental impacts. However, there’re still many technical difficulties and challenges hindering their widespread commercial application, among which the most important ones are high loading (high cost) of Pt [1] and its dissolution [2] during fuel cell operation on the cathode side of fuel cell.             The approach of synthesizing electrocatalysts with a monolayer of Pt provides an effective way of reducing Pt contents while maintaining or even improving their electrochemical activities for oxygen reduction reaction (ORR) [3]. However, in addition to have beneficial catalytical influence on Pt shell, the material from which the cores are made, must be stabile in highly oxidative environment of the fuel cell cathode.                            Pt monolayer (Pt               ML               ) catalyst deposited on Pd and Pd-based alloys cores showed higher ORR activity and stability compared to a pure Pt catalyst [2, 4]. Due to the incomplete Pt shell, Pd (a noble metal) shows some instability under the prolonged highly oxidizing conditions that can occur during fuel cell operation. Since Ir is one of the most stable transition metals, some research has been conducted on Pt               ML               catalysts deposited on Ir and Ir-M (M=Fe, Co, Ni, Cu) alloy nanoparticle substrates [5, 6].                                         In this work, low-Pt content catalysts consist of a Pt               ML               on carbon-supported IrPd (IrPd/C) and IrPd-shell Ni-core (IrPd/Ni/C) nanoparticles were examined for ORR activity and stability. IrPd/C nanoparticles, with molar ratio of Ir:Pd=1:4, were prepared using PdCl               2               and (NH               4               )               2               IrCl               6               as metal precursors, citric acid as a complexing agent, and NaBH               4               as a reducing agent. The IrPd/Ni/C nanoparticles were synthesized by first preparing Ni nanoparticles supported on carbon (Ni/C) which were subsequently immersed in solution containing Pd and Ir ions (Ir:Pd=1:4) to form PdIr shell by partially galvanically displacing Ni. After that, IrPd/C and IrPd/Ni/C nanoparticles were filtered and dried in vacuum oven. At the end, they were annealed in pure H               2               atmosphere at 550°C for 2 hours. The Pt               ML               IrPd/C and Pt               ML               IrPd/Ni/C catalysts were prepared by depositing a Pt monolayer onto these particles by displacing a Cu monolayer formed at underpotentials in 0.05 M CuSO               4               and 0.1M H               2               SO               4               solution.                                         The average diameter of IrPd/C nanoparticles is ~ 4 nm (Fig. 1) while for the IrPd/Ni/C nanoparticles is ~ 10 nm (not shown). Polarization curves showed that both the catalysts of interests in this work have better ORR activities than Pt               ML               catalysts deposited on commercial Pd/C (30wt% NE-H) (Pt               ML               Pd/C). The half-wave potentials and initial Pt mass activities of Pt               ML               IrPd/C (882 mV, 1.71 A/mg               Pt               ) and Pt               ML               IrPd/Ni/C catalysts (877 mV, 1.61 A/mg               Pt               ) are much high than those for Pt               ML               Pd/C (854 mV, 0.555 A/mg               Pt               ) (Fig. 2). Moreover, after 5,000 cycles of accelerated durability test, the Pt               ML               IrPd/C still has a relatively high Pt mass activity of 1.16 A/mg               Pt,               while that of Pt               ML               IrPd/Ni/C drops to 0.775 A/mg               Pt               but still exceeds the DOE 2020 technical targets for electrocatalysts for transportation applications [7]. More detailed discussion on the ORR activity and stability of these catalysts will be presented at the meeting.                                         Acknowledgements                          This manuscript has been authored by employees of Brookhaven Science Associates, LLC under Contract No. DE-SC0012704 with the U.S. Department of Energy. The publisher by accepting the manuscript for publication acknowledges that the United States Government retains a non-exclusive, paid-up, irrevocable, world-wide license to publish or reproduce the published form of this manuscript, or allow others to do so, for United States Government purposes.                            References                                         1. G. Wu, K. L. More, C. M. Johnston, P. Zelenay,               Science               ,               332               , 443 (2011).                                         2. K. Sasaki, H. Naohara, Y. Choi, Y. Cai, W. Chen, P. Liu, R. R. Adzic,               Nature Communication               ,               3               , 1 (2012).                                         3. R. R. Adzic, J. Zhang, K. Sasaki, M. B. Vukmirovic, M. Shao, J. X. Wang, A. U. Nilekar, M. Marikakis, J. A. Valerio, F. Uribe,               Topics in Catalysis               ,               46               , 249 (2007).                                         4. J. Zhang, Y. Mo, M. B. Vukmirovic, R. Klie, K. Sasaki, R. R. Adzic,               Journal of Physical Chemistry B               ,               108               , 10955 (2004).                                         5. K. Kuttiyiel, Y. Choi, K. Sasaki, D. Su, S. Hwang, S. Yim, T. Yang, G. Park, R. R. Adzic,               Nano Energy               ,               29               , 261 (2016).                                         6. K. Kuttiyiel, K. Sasaki, Y. Choi, D. Su, P. Liu, R. R. Adzic,               Energy and Environmental Science               ,               5               , 5297 (2012).                                         7. US department of energy, Multi-Year Research, Development, and Demonstration Plan,               3.4               , 21 (2016).                                                                                                                Figure 1","2017-04-15","2026-01-06 11:10:03","2026-01-08 04:55:12","2026-01-06 11:10:03","1431-1431","","31","MA2017-01","","Meet. Abstr.","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J9VVBA33","journalArticle","2016","Tran, Thanh-Nhan; Song, Min Young; Yu, Jong-Sung","Iron-polypyrrole electrocatalyst with remarkable activity and stability for oxygen reduction reaction","ECS Meeting Abstracts","","2151-2043","10.1149/MA2016-02/38/2670","https://iopscience.iop.org/article/10.1149/MA2016-02/38/2670","A new facile template-free method is presented to synthesize Fe-treated N-doped carbon (Fe/N-C) catalysts for oxygen reduction reaction (ORR) by employing a synthesis protocol of pyrolysis-leaching-stabilization (PLS) sequence of polypyrrole in the presence of ferric source, which serves dual purposes of an oxidant for pyrrole polymerization and an iron source. Each step in the PLS sequence is assessed in detail in terms of related structural properties of resulting carbon catalysts, and their effects on ORR activities are elaborated to confirm the validity of the current synthesis protocol. It is found that as-prepared carbon catalyst exhibits outstanding high catalytic activity in both alkaline and acidic conditions. The carbon catalyst prepared at pyrolysis temperature of 900               o               C (FePPyC-900) shows remarkably high ORR activity with onset potential of 0.96 V (vs. RHE), which is similar to that of Pt/C, whereas the half-wave potential (E               1/2               ) of FePPyC-900 is 0.877 V, which is more positive than that of Pt/C at the same catalyst loading amount in alkaline condition. Furthermore, the FePPyC-900 catalyst also illustrates exceptionally high activity in acidic condition with onset and half-wave potentials, which are almost comparable to those of the state-of-the-art Pt/C catalyst, which is rarely observed for non-Pt based carbon catalyst. In addition, the FePPyC-900 catalyst displays much better stability and methanol tolerance than the Pt/C and exhibits four electron transfer pathway in both alkaline and acidic conditions. Such extraordinary high ORR activity and stability the FePPyC samples can be attributed to the implementation of extra stabilization step in addition to conventional sample preparation steps of pyrolysis and subsequent leaching in current PLS synthesis protocol as well as to the use of highly conducting PPy as a single precursor of carbon and nitrogen in the presence of Fe.","2016-09-01","2026-01-06 11:10:14","2026-01-08 04:55:11","2026-01-06 11:10:14","2670-2670","","38","MA2016-02","","Meet. Abstr.","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCTTYCAK","journalArticle","2021","Sun, Tiantian; Wang, Heng-guo","Heteroatom-doped hollow carbon material as an electrocatalyst for oxygen reduction reaction","Journal of Physics: Conference Series","","1742-6588, 1742-6596","10.1088/1742-6596/2079/1/012007","https://iopscience.iop.org/article/10.1088/1742-6596/2079/1/012007","Abstract                            The development of highly efficient and stable non-precious metal electrocatalysts is essential for the oxygen reduction reaction (ORR). In this study, a simple polymerization pyrolysis method is proposed to prepare heteroatom-doped hollow carbon nanospheres (NPSC-800) by using Fe-BDC and phosphorus-containing polymers as precursors. The unique structure allows the catalyst to show good catalytic performance (Initial potential of 0.8786 V, a half-wave potential of 0.7576 V, and a diffusion-limited current density of 4.48 mA cm               -2               ). This research provides an effective strategy for the synthesis of heteroatom-doped carbon materials with good ORR catalytic performance.","2021-11-01","2026-01-06 11:10:25","2026-01-06 11:10:25","2026-01-06 11:10:25","012007","","1","2079","","J. Phys.: Conf. Ser.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\HHSIAWHR\Sun和Wang - 2021 - Heteroatom-doped hollow carbon material as an electrocatalyst for oxygen reduction reaction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7BIAVDT","journalArticle","2022","Liang, Qing; Meng, Fanling; Song, Kexin; Wang, Dong; Zhang, Wei","Exploiting asymmetric co states in a co-N-C catalyst for an efficient oxygen reduction reaction","Symmetry","","2073-8994","10.3390/sym14122496","https://www.mdpi.com/2073-8994/14/12/2496","Co-NC catalysts have attracted extensive concerns derived from their high oxygen reduction reaction (ORR) activity, but the catalytic mechanism of Co species with different forms remains controversial. Herein, we prepare Co-NC catalysts with a cobalt nanoparticle-supported and nitrogen-doped carbon structure using the ZIF-67 precursor, in which the Co states in the catalyst present an asymmetric state of an exposed carbon coating (Asy-Co) and a symmetric state of buried carbon (Sy-Co). The acid etching process removed the exposed asymmetric cobalt nanoparticles on the surface. The specific role of cobalt nanoparticles with different forms in the Co-NC catalysts was comprehensively clarified through analyzing the chemical coordination environment by XPS and XAFS. The half-wave potential (E1/2 = 0.83 V) and onset potential (Eon = 1.04 V) of the Co-NC catalysts obtained after acid etching decreased significantly. Thus, the cobalt species removed by the acid etching process offered confirmed contributions to the catalytic activity. This work puts forward an important reference for the design and exploitation of non-noble metal catalysts using symmetry-derived motifs.","2022-11-25","2026-01-06 11:10:51","2026-01-08 04:55:11","2026-01-06 11:10:51","2496","","12","14","","Symmetry","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\PID9VVN9\Liang 等 - 2022 - Exploiting Asymmetric Co States in a Co-N-C Catalyst for an Efficient Oxygen Reduction Reaction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACFJ7QKC","journalArticle","2018","Zhang, Jian; Song, Xiaoming; Li, Ping; Wang, Shuai; Wu, Zexing; Liu, Xien","An iron-based catalyst with multiple active components synergetically improved electrochemical performance for oxygen reduction reaction","Catalysts","","2073-4344","10.3390/catal8060243","https://www.mdpi.com/2073-4344/8/6/243","Lack of highly active and stable non-precious metal catalysts (NPMCs) as an alternative to Pt for oxygen reduction reaction (ORR) in the application of zinc-air batteries and proton-exchange membrane fuel cells (PEMFCs) significantly hinders the commercialization of these energy devices. Herein, we synthesize a new type of catalyst composed of nitrogen-coordinated and carbon-embedded metal (Fe-N/Fe3C/Fe/C) by pyrolyzing a precursor at 800 °C under argon atmosphere, and the precursor is obtained by heating a mixture of the tri (dipyrido [3,2-a:2′,3′-c] phenazinyl) phenylene and FeSO4 at 160 °C in a Teflon-lined stainless autoclave. The resultant Fe-N/Fe3C/Fe/C-800 exhibits the highest activity for the ORR with onset and half-wave potentials of 1.00 and 0.82 V in 0.1 M KOH, respectively. Furthermore, it also shows a potential ORR activity in 0.1 M HClO4, which is promising for the application in commercial PEMFCs. Most importantly, Fe-N/Fe3C/Fe/C-800 exhibits a comparable electrochemical performance to Pt/C for the application in zinc-air battery. The specific capacity approaches 700 mAh·g−1, and the maximum power density is also comparable to that of Pt/C at the current density of 200 mA·cm−2. The work opens up a simple strategy to prepare ORR electrocatalyts for zinc-air battery and PEMFCs.","2018-06-07","2026-01-06 11:11:06","2026-01-08 04:55:10","2026-01-06 11:11:06","243","","6","8","","Catalysts","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\VFJRZRLY\Zhang 等 - 2018 - An Iron-Based Catalyst with Multiple Active Components Synergetically Improved Electrochemical Perfo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4JZGMV9","journalArticle","2022","Gao, Jiangshan; Lian, Tongtong; Wang, Huanhuan; Liu, Zhiming; He, Yan","Ultralow loading ru-Mo<sub>2</sub> C on CNT boosting high durability electrocatalyst for oxygen reduction reaction","Journal of The Electrochemical Society","","0013-4651, 1945-7111","10.1149/1945-7111/ac8fba","https://iopscience.iop.org/article/10.1149/1945-7111/ac8fba","The high cost and low stability of Pt-based oxygen reduction reaction (ORR) catalysts have limited their commercial applications. In this paper, we report the microwave synthesis of ultralow loading Ru-Mo               2               C on carbon nanotubes (CNT) as ORR catalysts to alleviate these above disadvantages. Ru-Mo               2               C@CNT exhibited excellent oxygen reduction reaction activity with a half-potential of 0.87 V and an onset potential of 0.94 V. It has high stability and palmary anti-methanol capability in alkaline electrolytes. This Ru-Mo               2               C@CNT may be a promising alternative to Pt-based electrocatalysts in energy conversion and storage.","2022-09-01","2026-01-06 11:11:09","2026-01-08 04:55:10","2026-01-06 11:11:09","096512","","9","169","","J. Electrochem. Soc.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\YL45LLLS\Gao 等 - 2022 - Ultralow Loading Ru-Mo2 C on CNT Boosting High Durability Electrocatalyst for Oxygen Redu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZLPP7KV7","journalArticle","2021","Wei, Yongan; Tian, Liangyu; Sun, Panpan; Huang, Niu; Lv, Xiaowei; Fang, Liang; Sun, Xiaohua","Synthesis of Ni<sub>3</sub> Bi<sub>2</sub> S<sub>2</sub> coupled with N-doped carbon sheets as electrocatalyst for triiodide and oxygen reduction","Journal of Nanoscience and Nanotechnology","","1533-4880","10.1166/jnn.2021.19345","https://www.ingentaconnect.com/conte19345nt/10.1166/jnn.2021.","Herein, we report a novel composite structure consisting of Ni               3               Bi               2               S               2               particles coupled with N-doped carbon (NC) sheets. Different from the generally used high vacuum or microwave-assisted technologies, metal-rich Ni               3               Bi               2               S               2               can be successfully synthesized via a simple pyrolysis procedure, with NC employed as a reducing agent. In addition, the phase purity, size, and dispersity of the Ni               3               Bi               2               S               2               particles, which were encapsulated by the NC shell, were modulated by the content of  NC. The X-ray photoelectron spectroscopy (XPS) analysis demonstrated the metallic state of the Ni and Bi elements, which ensured good Ni               3               Bi               2               S               2               electrical conductivity. As a result, the resultant Ni               3               Bi               2               S               2               /NC (0.55 II) catalyzed  triiodide reduction with a lower charge transfer resistance than commercial Pt/C (1.4 II). Moreover, Ni               3               Bi               2               S               2               /NC catalyzed the oxygen reduction reaction with a positive ORR half-wave potential (0.81 V vs. RHE) and a low Tafel slope (47 mV dec               -1               ).  Our study thus provides the novel exploration of the electrochemical performance of Ni               3               Bi               2               S               2               and indicates its promising application in electrocatalytic reactions.","2021-09-01","2026-01-06 17:04:51","2026-01-08 05:26:14","2026-01-06 17:04:51","4740-4748","","9","21","","j nanosci nanotechnol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
