"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IMVFQC8N","journalArticle","2025","Acharya, Animesh; Mandal, Koustav; Kumari, Neetu; Chatterjee, Kuntal","Synergistic inclusion of reaction activator and reaction accelerator to ni‐MOF toward extra‐ordinary performance of urea oxidation reaction","Small","","1613-6810, 1613-6829","10.1002/smll.202407377","https://onlinelibrary.wiley.com/doi/10.1002/smll.202407377","Abstract                            Recently electrochemical urea oxidation reaction (UOR) has emerged as the technology of demand for commercialization of urea‐based energy conversion. However, the nascent idea is limited by the energy burden of threshold voltage and the sluggish reaction kinetics involving a six‐electron transfer mechanism. Herein, for the first time, the engineering of electrocatalysts are proposed with simultaneous inclusion of UOR activator and UOR accelerator. Nitrogen‐doped carbon‐decorated Ni‐based Metal Organic Framework (MOF) has been synthesized as the base catalyst material. MoO               2               and rGO with varied loading have been attached to the MOF to get the desired MoO               2               /Ni‐MOF/rGO heterostructure incorporating defects and crystal strain within the materials. Investigations reveal that the invoked lattice strain and atomic defects promote plenteous Ni               3+               active sites. The optimized sample demonstrates extraordinary performance of UOR having the potential value as low as 1.32 V versus RHE to reach the current density of 10 mA cm               −2               and the tafel slope is only 31 mV dec               −1               reflecting very fast reaction kinetics. Here MoO               2               plays the role of UOR activator whereas optimized loading of rGO proliferates the reaction speed. This work, experimentally and theoretically, presents a new insight to enhance electrocatalytic urea oxidation reaction opening an avenue of urea‐based energy‐harvesting technology.","2025-01","2026-01-06 11:49:37","2026-01-08 04:55:10","2026-01-06 11:49:37","2407377","","1","21","","Small","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\ANZ8MD8M\Acharya 等 - 2025 - Synergistic Inclusion of Reaction Activator and Reaction Accelerator to Ni‐MOF Toward Extra‐Ordinary.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEBCJ64S","journalArticle","2025","Geng, Shuai; Hai, Bo; Shi, Heping","Amorphous co-NiB@NF as an efficient electrocatalyst for urea oxidation reaction","Catalysts","","2073-4344","10.3390/catal15070612","https://www.mdpi.com/2073-4344/15/7/612","Transition metal-based catalysts designed for efficient urea oxidation reactions (UOR) are essential for hydrogen production via urea-assisted water electrolysis. A series of amorphous nickel–cobalt boride catalysts supported on nickel foam were in situ synthesized via a stepwise chemical deposition method (SCDM). The systematic investigation focused on the relationships between synthesis parameters (deposition cycles, reactant feed ratio), morphological characteristics, and UOR performance. Notably, the optimized Co-NiB@NF catalyst exhibits a porous hierarchical architecture composed of metallic nanoparticles encapsulated by surface-wrinkled nanosheets, forming abundant exposed active sites. Electrochemical measurements demonstrate that this catalyst requires a low cell potential of 1.29 V to achieve a current density of 10 mA cm−2. Moreover, it maintains 83% of the initial current density after 10 h of continuous electrolysis, highlighting its superior durability. The structural-property relationship revealed here provides valuable insights into the rational design of efficient amorphous boride catalysts for urea-assisted hydrogen production.","2025-06-21","2026-01-06 11:51:44","2026-01-08 04:55:10","2026-01-06 11:51:44","612","","7","15","","Catalysts","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\7QDBCD3K\Geng 等 - 2025 - Amorphous Co-NiB@NF as an Efficient Electrocatalyst for Urea Oxidation Reaction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESRGJQJ6","journalArticle","2020","Wang, Zhaolong; Hu, Yiming; Liu, Wenjun; Xu, Li; Guan, Meili; Zhao, Yan; Bao, Jian; Li, Huaming","Manganese‐modulated cobalt‐based layered double hydroxide grown on nickel foam with 1D–2D–3D heterostructure for highly efficient oxygen evolution reaction and urea oxidation reaction","Chemistry – A European Journal","","0947-6539, 1521-3765","10.1002/chem.202001055","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.202001055","Abstract                            Hydrogen production by energy‐efficient water electrolysis is a green avenue for the development of contemporary society. However, the oxygen evolution reaction (OER) and the urea oxidation reaction (UOR) occurring at the anode are impeded by the sluggish reaction kinetics during the water‐splitting process. Consequently, it is promising to develop bifunctional anodic electrocatalysts consisting of nonprecious metals. Herein, a bifunctional CoMn layered double hydroxide (LDH) was grown on nickel foam (NF) with a 1D–2D–3D hierarchical structure for efficient OER and UOR performance in alkaline solution. Owing to the significant synergistic effect of Mn doping and heterostructure engineering, the obtained Co               1               Mn               1               LDH/NF exhibits satisfactory OER activity with a low potential of 1.515 V to attain 10 mA cm               −2               . Besides, the potential of the Co               1               Mn               1               LDH/NF catalyst for UOR at the same current density is only 1.326 V, which is much lower than those of its counterparts and most reported electrocatalysts. An urea electrolytic cell with a Co               1               Mn               1               LDH/NF anode and a Pt–C/NF cathode was established, and a low cell voltage of 1.354 V at 10 mA cm               −2               was acquired. The optimized strategy may result in promising candidates for developing a new generation of bifunctional electrocatalysts for clean energy production.","2020-07-27","2026-01-06 11:56:33","2026-01-08 04:55:09","2026-01-06 11:56:33","9382-9388","","42","26","","Chemistry A European J","","","","","","","","en","","","","","DOI.org (Crossref)","","TLDR: A bifunctional CoMn layered double hydroxides (LDH) grown on nickel foam with a 1D-2D-3D hierarchical structure for efficient OER and UOR performance in alkaline solution is reported.","","C:\Users\Administrator\Zotero\storage\T5XA7CL5\Wang 等 - 2020 - Manganese‐Modulated Cobalt‐Based Layered Double Hydroxide Grown on Nickel Foam with 1D–2D–3D Heteros.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRHURMMI","journalArticle","2020","Ji, Xinyang; Zhang, Yongxia; Ma, Zhuo; Qiu, Yunfeng","Oxygen vacancy‐rich ni/NiO@NC nanosheets with schottky heterointerface for efficient urea oxidation reaction","ChemSusChem","","1864-5631, 1864-564X","10.1002/cssc.202001185","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cssc.202001185","Abstract                            H               2               production               via               electrocatalytic water splitting is greatly hindered by the sluggish oxygen evolution reaction (OER). The urea oxidation reaction (UOR) draws specific attention not only because of its lower theoretical voltage of 0.37 V compared with OER (1.23 V), but also for treating sewage water. Herein, Ni/NiO nanosheets with an ultrathin N‐doped C layer containing a Schottky Ni and NiO heterointerface is constructed. Because of the self‐driven charge redistribution at the heterointerface, janus charge domains are successfully created to drive the cleavage of urea molecules. Meanwhile, the synergistic effect between N‐doped C and Ni/NiO restrains the deactivation of active sites in alkaline solution. The catalyst displays 1.35 V for UOR at 10 mA/cm               2               , 0.27 V lower than that of OER. The final potential increase is only 2 mV after long‐term stability test of 12 h for UOR, much smaller than the uncoated sample (38 mV). The present work shows that C‐coated transition metal nanomaterials with oxygen vacancies and a Schottky heterointerface are promising candidates for simultaneously boosting UOR with both high activity and long‐term stability.","2020-09-18","2026-01-06 11:56:44","2026-01-08 04:55:09","2026-01-06 11:56:44","5004-5014","","18","13","","ChemSusChem","","","","","","","","en","","","","","DOI.org (Crossref)","","TLDR: The present work proved that carbon coated transition metal nanomaterials with oxygen-vacancies and Schottky heterointerface were promising candidates for simultaneously boosting UOR with both high activity and long-term stability.","","C:\Users\Administrator\Zotero\storage\5MSMLJHV\Ji 等 - 2020 - Oxygen Vacancy‐rich NiNiO@NC Nanosheets with Schottky Heterointerface for Efficient Urea Oxidation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38EA8AJM","journalArticle","2024","Klahan, Kanokwan; Loget, Gabriel; Pattanasattayavong, Pichaya","Copper‐nickel alloy modified‐silicon photoanodes for photoelectrochemical water oxidation and urea oxidation","ChemNanoMat","","2199-692X, 2199-692X","10.1002/cnma.202400036","https://aces.onlinelibrary.wiley.com/doi/10.1002/cnma.202400036","Abstract                            The development of silicon (Si) photoanodes for photoelectrochemical (PEC) oxidation is highly crucial for the progress of solar‐driven hydrogen production. Apart from the typical water oxidation reaction or oxygen evolution reaction (OER), the urea oxidation reaction (UOR) is gaining more attention due to favorable thermodynamics. In this work, we study Si photoanodes modified with electrodeposited copper‐nickel (CuNi) alloy for OER and UOR. The optimized photoanodes exhibit a low onset potential of 1.15 V vs reversible hydrogen electrode (RHE) and a current density of 6 mA cm               −2               at 1.23 V vs RHE (the thermodynamic potential for water oxidation) for OER. Further, CuNi alloy‐modified photoanodes can drive the UOR at a lower onset potential (1.05 V vs RHE) and generate a higher current density of 31 mA cm               −2               at 1.23 V vs RHE. Importantly, the CuNi alloy can extend the stability for UOR under PEC conditions when compared to a planar Ni film deposited by a vacuum‐based process. This work demonstrates that CuNi alloy can further improve the properties of inhomogeneous metal‐insulator‐semiconductor Si photoanodes which can be efficiently utilized for both OER and UOR.","2024-08","2026-01-06 11:57:00","2026-01-08 04:55:09","2026-01-06 11:57:00","e202400036","","8","10","","ChemNanoMat","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\X3EWLV27\Klahan 等 - 2024 - Copper‐Nickel Alloy Modified‐Silicon Photoanodes for Photoelectrochemical Water Oxidation and Urea O.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMYUVVFG","journalArticle","2024","Wang, Peichen; Zheng, Wei; Qu, Yafei; Duan, Naiyuan; Yang, Yang; Wang, Dongdong; Wang, Hui; Chen, Qianwang","Photo‐excited high‐spin state ni (III) species in mo‐doped Ni<sub>3</sub> S<sub>2</sub> for efficient urea oxidation reaction","Small","","1613-6810, 1613-6829","10.1002/smll.202403107","https://onlinelibrary.wiley.com/doi/10.1002/smll.202403107","Abstract                            Designing robust catalysts for increasing the sluggish kinetics of the urea oxidation reaction (UOR) is challenging. Herein, the regulation of spin states for metal active sites by photoexcitation to facilitate the adsorption of urea and intermediates is demonstrated. Mo‐doped nickel sulfide nanoribbon arrays (Mo‐Ni               3               S               2               @NMF) with excellent light‐trapping capacity are successfully prepared. Under AM 1.5G illumination, the activity of the Mo‐Ni               3               S               2               @NMF exhibits a 50% improvement in the UOR current. Compared with those under dark conditions, Mo‐Ni               3               S               2               @NMF achieve 10 mA cm               −2               at 1.315 V               RHE               for UOR and 1.32 V               cell               for urea electrolysis, which are decreases of 15 and 80 mV, respectively. The electron spin resonance, in situ Fourier transform infrared spectroscopy analysis and density functional theory calculations reveal that illumination led to the formation of Ni               3+               active sites in a high‐spin state, which strengthens the d‐p orbital hybridization of Ni‐N, hence facilitating the adsorption of urea. C─N cleavage of the               *               CONN intermediate is further inhibited, which promotes the oxidation of urea molecules via the active N               2               pathway, thereby accelerating the UOR rate.","2024-11","2026-01-06 11:57:17","2026-01-08 04:53:57","2026-01-06 11:57:17","2403107","","45","20","","Small","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\C2IJD8SW\Wang 等 - 2024 - Photo‐Excited High‐Spin State Ni (III) Species in Mo‐Doped Ni3 S2 for Efficien.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZL9X68N","journalArticle","2025","Ji, Chengwei; Duan, Huimei; Wang, Chuanhui; Liang, Guizeng; Long, Xiaojing; She, Xilin; Zhang, Rongrong; Gong, Feilong; Li, Daohao; Yang, Dongjiang; Liu, Jian","Pairing N‐vacancy and adjacent ni‐sites in the local microenvironment to regulate the urea oxidation reaction pathway with enhanced kinetics","Advanced Materials","","0935-9648, 1521-4095","10.1002/adma.202503879","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202503879","Abstract                            The urea oxidation reaction (UOR) is a promising approach for replacing the oxygen evolution reaction in hydrogen production, offering lower energy consumption. However, the kinetics of Ni‐based catalysts for UOR are hindered by the high formation potential of NiOOH and its repeated transition with Ni(OH)               2               . In this study, a local microenvironment featuring electron‐deficient N‐vacancies (V               N               ) paired with adjacent electron‐rich Ni‐sites on Ni               3               N (Ni               3               N‐V               N               ) to enhance UOR kinetics is constructed. The electron‐rich Ni‐sites significantly reduce the energy barrier for NiOOH formation and promote the conversion of Ni(OH)               2               to NiOOH. Meanwhile, the V               N               sites induce low charge transfer resistance in Ni               3               N, facilitating efficient electron transfer and boosting UOR performance while ensuring the stability of the active NiOOH phase. The V               N               sites promote the adsorption of the urea N atom at the active site, favoring the reaction pathway toward “NCO⁻” formation without requiring complete urea dissociation. This pathway alleviates the NiOOH/Ni(OH)               2               conversion cycle, lowers charge transfer resistance, and improves reaction kinetics. Ni               3               N‐V               N               demonstrates excellent UOR activity (low potential of 1.46 V at 1000 mA cm               −2               ) and industrial prospects (integrating into an anion exchange membrane flow electrolyzer with 20% Pt/C, producing 600 mA cm               −2               at 1.84 V), highlighting its potential for practical applications.","2025-07","2026-01-06 11:57:37","2026-01-08 04:53:57","2026-01-06 11:57:37","2503879","","28","37","","Advanced Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\ZJBL7Y2I\Ji 等 - 2025 - Pairing N‐Vacancy and Adjacent Ni‐Sites in the Local Microenvironment to Regulate the Urea Oxidation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHBH43BH","journalArticle","2024","Bornak, Mona; Akther, Jasmeen; Song, Chaojie; Fatih, Khalid; Ali, Ahmed H.; Stockmann, T. Jane; Pickup, Peter G.","Electrochemical synthesis of urea from carbon dioxide and nitrite at cobalt phthalocyanine-ion liquid electrodes","Journal of The Electrochemical Society","","0013-4651, 1945-7111","10.1149/1945-7111/ad6a97","https://iopscience.iop.org/article/10.1149/1945-7111/ad6a97","Electrochemical coreduction of carbon dioxide and nitrogen oxyanion/oxide pollutants are attractive processes for simultaneous environmental remediation and sustainable production of urea. The development of suitable technology requires catalysts and electrodes that provide higher efficiencies by decreasing the overpotential required and increasing the faradaic efficiency. Electrode design is a key element in this process through which the environment of the catalyst can be manipulated to optimize activity and selectivity. Here, ionic liquids have been used to control the coreduction of carbon dioxide and nitrite at a cobalt phthalocyanine catalyst. Increasing the hydrophobicity of the catalyst layer with a mixture of 1-butylpyridinium hexafluorophosphate and trihexyltetradecylphosphonium bis(trifluoromethylsulfonyl)imide was found to increase the faradaic efficiency for urea formation to 27% at the lowest overpotential (−0.064 V vs RHE), from 3% for a Nafion binder. Modulation of the electronic structure, arrangement (aggregation vs adsorption on the carbon support) and/or mobility (via solubilization) of the CoPc catalyst appear to play a role in determining the rate and faradaic efficiency of urea production. Combining the CoPc catalyst with a carbon supported Cu cocatalyst increased the rate of urea production by 195% at –0.064 V.","2024-08-01","2026-01-06 15:58:57","2026-01-08 04:53:56","2026-01-06 15:58:57","086504","","8","171","","J. Electrochem. Soc.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\SZLRX2QK\Bornak 等 - 2024 - Electrochemical Synthesis of Urea from Carbon Dioxide and Nitrite at Cobalt Phthalocyanine-Ion Liqui.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S7V7EPHB","journalArticle","2025","Liu, Deng; Guo, Xingyu; Yang, Tao; Kong, Aiguo; Lv, Dong; Yang, Yang; Cui, Xiangzhi; Liu, Rui","Self‐supported asymmetric ce─O─ni sites reconstructed from biscuit‐like MOFs for efficient urea oxidation and zn‐urea battery applications","Advanced Functional Materials","","1616-301X, 1616-3028","10.1002/adfm.202517562","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.202517562","Abstract                            Designing asymmetric active sites with tailored electronic structures is crucial for improving the sluggish kinetics of the urea oxidation reaction (UOR) in energy conversion systems. Herein, a unique biscuit‐like Ce‐doped Ni‐MOF (Ce─Ni─BDC) directly grown on nickel foam is synthesized through solvothermal coordination and ion exchange. The self‐supported electrode achieves exceptional UOR activity, requiring only 1.408 V (vs reversible hydrogen electrode (RHE), V               RHE               ) at 100 mA cm               −2               , outperforming undoped Ni‐BDC, RuO               2               , and Pt/C benchmarks. When applied in a time‐decoupled Zn‐Urea battery, the system delivers a peak power density of 2.32 mW cm               −2               along with hydrogen production.               Operando               studies reveal that asymmetric Ce─O─Ni sites facilitate reconstruction into Ce‐γ‐NiOOH at potentials 150 mV lower than conventional γ‐NiOOH formation, and the density functional theory calculations demonstrate that Ce               3d               ‐O‐Ni               2p               orbital hybridization evaluates d‐band center to −1.359 eV, which stabilizes the *CO intermediate while reducing the energy barrier for *COOH formation by 0.27 eV. This work provides a facile MOF‐derived route to engineer asymmetric metal sites, mechanistic insights into reconstruction dynamics and orbital interactions, and a practical demonstration in renewable energy storage systems.","2025-09-20","2026-01-06 15:58:55","2026-01-08 04:53:56","2026-01-06 15:58:55","e17562","","","","","Adv Funct Materials","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\VHGB6VKP\Liu 等 - 2025 - Self‐Supported Asymmetric Ce─O─Ni Sites Reconstructed From Biscuit‐Like MOFs for Efficient Urea Oxid.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W5EKGCW7","journalArticle","2023","Cai, Minmin; Zhu, Qian; Wang, Xiyang; Shao, Zhiyu; Yao, Lu; Zeng, Hui; Wu, Xiaofeng; Chen, Jun; Huang, Keke; Feng, Shouhua","Formation and stabilization of NiOOH by introducing α‐FeOOH in LDH: Composite electrocatalyst for oxygen evolution and urea oxidation reactions","Advanced Materials","","0935-9648, 1521-4095","10.1002/adma.202209338","https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202209338","Abstract                            NiOOH is considered as the most active intermediate during electrochemical oxidation reaction, however, it is hard to directly synthesize due to high oxidation energy. Herein, theoretical calculations predict that α‐FeOOH enables a decline in formation energy and an improvement in stabilization of NiOOH in NiFe‐based layered double hydroxide (LDH). Inspiringly, a composite composed of α‐FeOOH and LDH is well‐designed and successfully fabricated in hydrothermal treatment by adding extra Fe               3+               resource, and stable NiOOH is obtained by the following electro‐oxidation method. Benefiting from strong electron‐capturing capability of α‐FeOOH, it efficiently promotes charge redistribution around the Ni/Fe sites and activates Ni atoms of LDH, verified by X‐ray photoelectron spectra (XPS) and X‐ray absorption spectra (XAS). The d‐band center is optimized that balances the absorption and desorption energy, and thus Gibbs free energy barrier is lowered dramatically toward oxygen evolution reaction (OER) and urea oxidation reaction (UOR), and finally showing an outstanding overpotential of 195 mV and a potential of 1.35 V at 10 mA cm               −2               , respectively. This study provides a novel strategy to construct highly efficient catalysts via the introduction of a new phase for complex multiple‐electron reactions.","2023-02","2026-01-06 16:01:00","2026-01-08 04:53:56","2026-01-06 16:01:00","2209338","","7","35","","Advanced Materials","Formation and Stabilization of NiOOH by Introducing α‐FeOOH in LDH","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\VCBY27KK\Cai 等 - 2023 - Formation and Stabilization of NiOOH by Introducing α‐FeOOH in LDH Composite Electrocatalyst for Ox.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
